text,label
"company's slogan ""Expect More. Pay Less.""",fallacy of relevance
"The bigger a child's shoe size, the better the child's handwriting",fallacies of defective induction
"Since many people believe this, then it must be true",fallacy of relevance
Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,fallacies of presumption
A mother tells her children not to leave the yard because there might be wild animals in the woods.,fallacy of relevance
"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",fallacies of defective induction
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,fallacies of defective induction
"""You were late tonight. You must be cheating!""",fallacies of defective induction
"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",fallacies of defective induction
"Makes people feel as though everyone is doing it, so they should too.",fallacy of relevance
You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,fallacy of relevance
"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of relevance
"""Beware of appeals made only to your feelings and not to your logic.""",fallacy of relevance
"taps into people's desire to belong to a group. ""Everyone else is doing it!""",fallacy of relevance
Science shows us that improved quality of life comes through research and invention.,fallacy of ambiguity
"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy of relevance
"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",fallacy of relevance
"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacies of defective induction
"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",fallacy of relevance
Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,fallacy of relevance
"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",fallacy of relevance
Students never used to have cell phones so they don't need them now.,fallacies of defective induction
All football players are dumb jocks.,fallacies of defective induction
"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",fallacies of defective induction
"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",fallacy of relevance
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,fallacy of relevance
Using the second amendment as justification to allow civilians to own nuclear submarines.,fallacies of defective induction
"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",fallacies of defective induction
"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",fallacy of relevance
An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.,fallacy of relevance
"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",fallacies of presumption
Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,fallacy of relevance
You should give me a promotion. I have a lot of debt and am behind on my rent.,fallacy of relevance
All women care about are their looks.,fallacies of defective induction
"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",fallacies of defective induction
"Either we go to war, or we appear weak",fallacies of defective induction
", tax relief instead of tax cut, or death tax instead of estate tax)",fallacy of relevance
"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",fallacies of defective induction
Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,fallacies of presumption
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,fallacy of relevance
