,source_article,updated_label
0,"“Since event Y followed event X, event Y must have been caused by event X”. What fallacy is described in this logical form?",false causality
1,What type of appeal taps into the desire to belong to a group?,ad populum
2,The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.,circular reasoning
3,All writing teachers must be awesome because Ms. Lopez is.,faulty generalization
4,Some impressive results are being achieved with functional languages today. For example a recent success in this area is the Amazon competitor Jet.com. Functional languages are increasing in number and popularity which shows increasing applicability to real world challenges.,fallacy of credibility
5,"Python is general-purpose programming language. Perl is ""practical extraction and reporting"" language. It's like replacement for *sh for scripting with integrated sed, awk, grep. It's a glue for Unix world. For this purpose Perl is more concise and convenient.",fallacy of red herring
6,"Believing that ""runs"" occur to statistically independent phenomena such as routine wheel spirits.",false causality
7,Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews,false causality
8,"Although we have proven that the moon is not made of short ribs, we have not proven that its core cannot be filled with them; therefore, the moon’s core is filled with short ribs.",intentional
9,Governments finance themselves through extortion (taxation) and counterfeiting (quantitative easing).,faulty generalization
10,It is guaranteed in the United States Constitution that every citizen has the right to bear arms.,ad populum
11,Everyone does it.  You should too.,ad populum
12,1. “Michael Jordan wore his UNC shorts during every game he played in the NBA and he won 6 championships.”,false causality
13,This seat belt ad is using which type of persuasive appeal? It has a picture which might make people feel sad.,appeal to emotion
14,“The economy has improved greatly because of the new president.”,false causality
15,The attack in Selma left many dead and it was erupting violence over something as little as skin color,circular reasoning
16,My grandmother ate 10 cloves of raw garlic every day. Not surprisingly she lived to be 102.,false causality
17,"The death penalty does not (statistically) appear to prevent further violent crime. In fact, states in the U.S. without the death penalty have, on average, a 25% fewer murders per capita",false causality
18,"In the 6 years that I have been practicing my new and improved brand of cognitive-humanistic-dynamic-behavioral-deconstructive-metaregressive-deontological psychotherapy (now with biofeedback!), which I developed, there has not been one published study showing that it fails to work or that it has ever harmed a patient. It is clearly one of the safest and most effective interventions ever devised.",intentional
19,Church's chicken is WAAAYY crispier,fallacy of red herring
20,"Andy states that a Scotsman would never put sugar on his porridge. Dougal replies that he is a Scotsman and he does put sugar on his porridge. Andy counters that no true Scotsman puts sugar on his porridge.

Andy thus changes the terms of the argument, implying that Dougal is not a ""true"" Scotsman in order to support his own position.",intentional
21,"A father tells his son not to start smoking as he will regret it when he is older, and the son points out that his father is a smoker. This does not alter the fact that his son may regret smoking when he is older.",ad hominem
22,Yet countries under democratic systems have achieved levels of prosperity unseen in human history or under any other political system.,fallacy of red herring
23,"Q: Did the President have an affair?
A: ""He's very busy at the moment with the Middle East Peace talks, and has no time for
 silly accusations."" ",fallacy of red herring
24,"“I know that what I experience is real because I can see, hear, smell, touch and taste everything.”",circular reasoning
25,"Most of them are fat and adorable, and my urge to cuddle one grows by the minute when I look at one.",ad populum
26,"This trick, which literally means ""to the guy,"" distorts a person's character subtly or blatantly, undermining their reputation regardless of how compelling their point is.",ad hominem
27,"because the ideal ""anarchist"" fulfillment of capitalism leads to neo-feudalism, which is too far from democracy.",fallacy of red herring
28,By the same reasoning the claim the universe was not created must therefore also be non-scientific. So belief in creationism is no less rational than belief in naturalism.,fallacy of red herring
29,"In the four years that I have been marketing my new and improved brand of past-life regressive biocognitive astral-projective hyperaffective-hypnotic-teleological-metatherapy (buy ten sessions and the next one is free!), not one person has proved it is worthless or that I am unethical for providing a therapy I just made up one day when I realized that no one was referring clients to me anymore. That makes clear what a worthwhile therapy this is and how exceptionally ethical I am to provide it.",intentional
30,"Pol Pot, the Cambodian Maoist revolutionary, was against religion, and he was a very bad man.  Frankie is against religion; therefore, Frankie also must be a very bad man.",faulty generalization
31,Studies show it takes up to seven years for the human body to digest a piece of gum.,fallacy of credibility
32,It's not necessary should be the most popular. Popularity just should cross some threshold to signal that it works.,fallacy of red herring
33,Human greed inevitably leads to ruling party members enriching themselves while the majority live in primitive conditions. E.g. east vs west Berlin during the cold war.,prejudicial language
34,We will not rest until we reach a day when not one single veteran falls into homelessness.,appeal to emotion
35,"“Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, I believe it's true.”",fallacy of credibility
36,"If you don’t like Lady Gaga, it’s because you hate women.",fallacy of extension
37,"Only in a few narrow and rare cases, such as rap labels. When it comes to education, housing, wealth and most other major areas, the disparity in power is so great as to make those few rare cases practically irrelevant.",fallacy of red herring
38,"A: I don't want to visit McDonald's today.
B: So you're just against good food then?
The above is an example of:",fallacy of extension
39,Actually Java uses references/pointers only so this argument should be against Java.,fallacy of red herring
40,"It is possible aliens built the pyramids. Therefore, aliens built the pyramids.",fallacy of logic
41,"You can configure your IDE to convert tab to spaces automagically, which means it doesn't matter, because you are using tab to type spaces in the end",false causality
42,"“But, Dad, I know you had no curfew when you were my age, so how can you give me a curfew?”",ad hominem
43,"Dicky: So how do you think life began?
Ralphie: Simple.  Aliens from another planet seeded this planet with life billions of years ago.
Dicky: OK, but how did that alien life form begin?
Ralphie: Simple.  Aliens from another planet seeded that planet with life.
",circular reasoning
44,"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum
45,Running the government is like running a business. You can’t keep running into debt and expect to be successful.,faulty generalization
46,It most definitely did though.,ad populum
47,"the claim, as evidence for an idea, that many people believe it, or used to believe it or do it.",ad populum
48,"My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.",faulty generalization
49,"If we let this child bring the permission slip late, there is no reason to ever set a deadline for anything again!",faulty generalization
50,"It don't use virtual machine to run applications, compiles to native processor language.",fallacy of red herring
51,"voting should be available to anyone, regardless of intelligence",circular reasoning
52,Either you are with me or you are against me.,false dilemma
53,"The students in my sixth-grade class listen to a lot of reggaeton music. I usually hear reggaeton when they have their headphones or earphones on while working on NoRedInk. All sixth graders must listen to reggaeton.

What type of faulty reasoning is being used?",faulty generalization
54,"Doctors refer to medical books all the time when they are treating patients. In the same way, I should be allowed to use a text book in my medical exam.",fallacy of logic
55,Dictators even suppress the poeple in the way they should behave in social aspects.,fallacy of red herring
56,"It is extremely difficult to break off from the cycle that our society created, and as long as a huge percent of our resources are controlled by the rich, there will be limited opportunities for the less rich to climb up the chain. And so it will continue, with only a handful breaking free.",false causality
57,"Fish are the easiest pets to keep; they are inexpensive and require no maintenance at all. Plus, they are really pretty and soothing to watch.",intentional
58,"If someone said, ""all kids love Cinnamon Toast Crunch, but you don't love it so you must not be a real kid,"" what logical fallacy are they using?",intentional
59,"features and principles from functional programming (e.g. first-order functions, immutability, monads) find wide application in established and new programming languages and at a higher level in system design (Google MapReduce, Twitter Finagle etc.)",fallacy of credibility
60,Three congressional representatives have had affairs. Members of Congress are adulterers.,faulty generalization
61,"Person 1:
""I am for raising the minimum wage in our state.""

Person 2:
""She is for raising the minimum wage, but she is not smart enough to even run a business.""",ad hominem
62,"Since Lucy Sutton became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Sutton bears sole responsibility for the downtrend.",false causality
63,We believe on what we believe in.,intentional
64,Fred the Australian stole my wallet. All Australians are thieves!,faulty generalization
65,"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!""",fallacy of credibility
66,"""My roommate said her philosophy class was hard, and the one I'm in is hard, too. All philosophy classes must be hard!”",faulty generalization
67,I failed Pre-Cal because my teacher doesn’t like me.,false causality
68,"Many people criticize Thomas Jefferson for being an owner of slaves. But Jefferson was one of our greatest presidents, and his Declaration of Independence is one of the most eloquent pleas for freedom and democracy ever written. Clearly these criticisms are unwarranted.",fallacy of red herring
69,"A fallacy which assumes that because something is popular, it is therefore good, correct, or desirable.",ad populum
70,JavaScript is merely an interface between HTML content and the browser. WebAssembly should present a generic bytecode that any language/platform can target to reduce web development headaches and disrupt JS-verse.,fallacy of red herring
71,Billy murdered all those people because I spanked him when he was a child.,false causality
72,Prisoners should be allowed to receive physician assisted suicide.,false causality
73,Politician: We have to decide if we are going to support school choice or if we are going to support failing schools. Those are the only two options.,false dilemma
74,"because ""liberalism"" is filthy petty bourgeoise and rentier class ideology, as if the extra income for a class of fortunate real estate, shop and website owners justifies the social injustice at large.",fallacy of red herring
75,"""Either you recycle or you don't care about human life.""",false dilemma
76,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",fallacy of credibility
77,"Bill: ""I think that some people have psychic powers."" 
Jill: ""What is your proof?"" 
Bill: ""No one has been able to prove that people do not have psychic powers.""",intentional
78,The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.,equivocation
79,"Jeff is preparing to create a commercial for a new energy drink. He visits a local high school and surveys students in an English class about their beverage preferences. The majority of the class says they prefer grape flavored drinks, so Jeff tells his superiors that grape is the flavor favored most by high school students. What error in reasoning has Jeff made?http://www.funtrivia.com",faulty generalization
80,Have you stopped cheating on your tests?,intentional
81,"Mother: It’s bedtime Jane

Jane: Mom, how do ants feed their babies?

Mother: Don’t know dear, close your eyes now.

Jane: But mama, do ant babies cry when they’re hungry?",fallacy of red herring
82,"One writer does not define what socialism is. It is accepted by all economists that the above examples are socialism, and that almost all nations (including the US) are partly socialist.",fallacy of credibility
83,"Java uses only references to objects, which are effectively pointers. ArrayList<Object> is effectively an array of pointers (in Java called ""references"") to Objects.",ad populum
84,The primaries were rigged,ad populum
85,"You should never gamble. Once you start gambling you find it hard to stop. Soon you are spending all your money on gambling, and eventually you will turn to crime to support your earnings.",faulty generalization
86,"Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn’t made the comment during their fight, Joe would not have been hit.",false causality
87,Verizon advertising the newest Samsung Galaxy phone that they claim everyone else who has bought it loves the new product.,ad populum
88,They are troll Masters,ad hominem
89,"According to Freud, your belief in God stems from your need for a strong father figure. So don’t you see that it’s silly to continue believing in God?",ad hominem
90,America:  love it or leave it. Either you’re for us or against us.,false dilemma
91,Not all methods need to use expensive virtual calls. It is especially useful when not using inheritance at all for some classes.,ad populum
92,"Hannah argues that because her friend was brainwashed as a child into thinking that people are generally good, people are not generally good.
Name that fallacy:",ad hominem
93,"In the space of a couple of days, Alastair Campbell has managed to turn an argument about the way the government presented its case for war in Iraq into an entirely different dispute about the way the BBC covered what was going on in Whitehall at the time.",fallacy of red herring
94,"I know you want to imprison me for having murdered my parents, but judge, have mercy on me, I’m an orphan!",fallacy of red herring
95,The Volkswagen Beetle is an evil car because it was originally designed by Hitler's army.,ad hominem
96,"""If you don't bring a pencil to class... you will end up sad and alone in life.""",faulty generalization
97,Justifies a claim because a large group favors it,ad populum
98,Students only want cell phones so they can text their friends in class; it's about time students focused more on their studies and less on their social lives.,fallacy of extension
99,", rather than on his arguments or opinions.",ad hominem
100,It is.,ad populum
101,It was purposefully created to mock religion.,fallacy of red herring
102,"Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.",false causality
103,"Person A: ""What's the weather like?""
Person B: ""It's 2:00""",fallacy of logic
104,"Javascript its self is buggy, and poorly preformant.",fallacy of credibility
105,"My professor, who has a Ph.D. in Astronomy, once told me that ghosts are real. Therefore, ghosts are real.",fallacy of credibility
106,A smoke screen to cover the truth; a clue that is misleading or distracting.,fallacy of red herring
107,"Poor people also benefit from much of what the rich compose, and thus live more wealthy lives.",false causality
