index,text,label
0,When you have too little or unrepresentative data to make claim.,faulty generalization
1,Politician: We have to decide if we are going to support school choice or if we are going to support failing schools. Those are the only two options.,false dilemma
2,"In many cases you can't really tell whether patients are improving because of what the therapist is doing or because of the placebo effect""”there's a fuzzy line separating the two--so we must conclude that they are actually the same mechanism of improvement.",equivocation
3,"Free software can permit end user to take control over software. If enduser cannot develop he can ask help from developers. There are many way to ask help :
- calling friend who can help
- calling paid services
- build a user community permit better fund raising.
- etc",false causality
4,"If the President arrives in Hawaii, and the next day a volcano erupts, believing that the volcano erupted because the President arrived on the island is an example of:",false causality
5,"""Everyone else is doing it, so should you"".",ad populum
6,"If you had school pride like the rest of us do, you would wear a mountain lion costume every day.",ad populum
7,"voting should be available to anyone, regardless of intelligence",circular reasoning
8,"""Then we had a death. A 32-year-old woman hemorrhaged to death as a result of a cervical laceration. I finally realized, we weren't helping women - we were destroying them.""",appeal to emotion
9,You either support Hillary Clinton for President or you don't believe in women's rights,false dilemma
10,Science shows us that improved quality of life comes through research and invention.,equivocation
11,"SuperCyberDate.con determined that Sally and Billy are a great match because they both like pizza, movies, junk food, Janet Jackson, and vote republican.",intentional
12,Improvements in work conditions have been brought about by regulations.,slothful induction
13,news organizations are Fake News?,faulty generalization
14,"The spider that bit was poison, therefore all spiders are poison.",faulty generalization
15,(Are the things being compared even similar? Does that prove anything?),fallacy of logic
16,"""If you don't bring a pencil to class... you will end up sad and alone in life.""",faulty generalization
17,"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad hominem
18,"""Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!"" is an example of which logical fallacy?",ad populum
19,"""You were late tonight. You must be cheating!""",faulty generalization
20,"""The two courses I took at Harvard were not very interesting. I don't think it is a good university.""",faulty generalization
21,The music industry must either raise album prices or reduce pay for technicians and producers.,false dilemma
22,"Edward Johns claimed to be psychic, but when his 'abilities' were tested under proper scientific conditions, they magically disappeared. Edward explained this saying that one had to have faith in his abilities for them to work.",intentional
23,America: Love it or leave it,false dilemma
24,"Boy , those sound like pretty terrible, epicly fascist (hint) robots.",fallacy of red herring
25,the most destructive problems can be easily traced to capitalism,circular reasoning
26,"Pure democracy is a form of dictatorship, where the majority is the dictator.",circular reasoning
