
using GPU
Number of training graphs: 1479
Number of test graphs: 370
Epoch: 001, Train Acc: 0.1711, Test Acc: 0.1784
Epoch: 002, Train Acc: 0.1893, Test Acc: 0.1946
Epoch: 003, Train Acc: 0.1927, Test Acc: 0.1676
Epoch: 004, Train Acc: 0.2454, Test Acc: 0.2135
Epoch: 005, Train Acc: 0.2407, Test Acc: 0.2243
Epoch: 006, Train Acc: 0.2556, Test Acc: 0.2297
Epoch: 007, Train Acc: 0.3239, Test Acc: 0.2703
Epoch: 008, Train Acc: 0.3394, Test Acc: 0.2811
Epoch: 009, Train Acc: 0.3043, Test Acc: 0.2595
Epoch: 010, Train Acc: 0.3807, Test Acc: 0.2730
Epoch: 011, Train Acc: 0.3962, Test Acc: 0.3027
Epoch: 012, Train Acc: 0.4219, Test Acc: 0.2730
Epoch: 013, Train Acc: 0.4584, Test Acc: 0.2973
Epoch: 014, Train Acc: 0.5064, Test Acc: 0.3243
Epoch: 015, Train Acc: 0.5368, Test Acc: 0.3189
Epoch: 016, Train Acc: 0.5260, Test Acc: 0.3432
Epoch: 017, Train Acc: 0.5740, Test Acc: 0.3378
Epoch: 018, Train Acc: 0.5950, Test Acc: 0.3189
Epoch: 019, Train Acc: 0.5389, Test Acc: 0.3405
Epoch: 020, Train Acc: 0.6383, Test Acc: 0.3730
Epoch: 021, Train Acc: 0.6471, Test Acc: 0.3459
Epoch: 022, Train Acc: 0.6335, Test Acc: 0.3405
Epoch: 023, Train Acc: 0.6531, Test Acc: 0.3811
Epoch: 024, Train Acc: 0.6640, Test Acc: 0.3730
Epoch: 025, Train Acc: 0.7316, Test Acc: 0.3622
Epoch: 026, Train Acc: 0.6782, Test Acc: 0.3568
Epoch: 027, Train Acc: 0.7444, Test Acc: 0.3595
Epoch: 028, Train Acc: 0.7985, Test Acc: 0.3892
Epoch: 029, Train Acc: 0.7843, Test Acc: 0.3568
Epoch: 030, Train Acc: 0.8032, Test Acc: 0.3676
