type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
0,-0.038969632,-0.025590576,-0.10091724,0.018597657,0.014475645,-0.04256312,-0.09032765,0.011175644,-0.023586363,0.04886701,-0.041406676,0.08789818,-0.028028905,0.020321168,0.0046716696,-0.0009980034,-0.025741959,-0.02483468,0.04487858,0.0016329965,0.06463467,0.019717632,-0.015607843,-0.012981642,-0.018748317,-0.018583784,0.027299521,-0.03952224,0.0010933961,0.013937,0.044460565,0.07521959,0.05024393,0.011531585,0.04667729,0.037866365,-0.043498132,0.038068466,-0.015071693,-0.04521765,-0.048995994,-0.022194883,0.020089764,-0.090467975,0.031194488,0.018939778,0.038631853,0.039560992,-0.009056126,0.055034835,0.04946069,0.017005779,-0.054842092,-0.024085473,-0.021557342,-0.018147282,0.008470416,-0.01024835,0.042743694,-0.025630798,-0.046963606,0.01909882,-0.0025599848,-0.0068585956,-0.002998352,-0.0075612725,-0.039440364,0.015814805,0.018158402,-0.02749944,-0.014613913,-0.037038945,-0.031363804,-0.023463571,0.01797853,0.037921224,-0.052733615,0.043155663,0.04236726,0.03150888,0.061975475,0.021551786,-0.019855505,-0.0045978646,-0.079387836,-0.035622235,0.11263797,0.007458814,0.05002951,-0.026402483,0.062028486,0.055891316,-0.053377375,0.014427133,-0.020445345,-0.027904944,-0.014773148,0.005301884,0.020872898,0.020907676,-0.0055111255,0.06463459,-0.033339743,-0.04148032,-0.051267456,-0.067867465,0.027291793,-0.032778848,-0.004521622,0.03786604,0.031142905,0.004357848,0.008288527,0.027050043,0.032660928,-0.0119933225,-0.0038902482,-0.010335673,-0.042023085,0.083469614,0.028556751,0.05006867,-0.019259466,-0.0034531623,0.04961772,0.03237542,0.0019783054,-0.011910848
1,-0.08801135,-0.04380735,-0.20662928,0.037579976,0.024862899,-0.08001695,-0.1801058,0.03254722,-0.037965607,0.107356146,-0.088484965,0.19613892,-0.051210638,0.040557064,0.0010664833,-0.016931737,-0.059164163,-0.05975016,0.10540292,-0.006143218,0.1260214,0.02862017,-0.0297468,-0.024931947,-0.048146773,-0.026195318,0.0549647,-0.06503112,0.011019833,0.04618613,0.08082385,0.16114496,0.08589503,0.026293043,0.10898955,0.06466782,-0.07502892,0.09160741,-0.020418271,-0.10707483,-0.10575765,-0.061584324,0.052199136,-0.18262854,0.06798969,0.045085233,0.084375724,0.06644744,-0.022717621,0.104725994,0.11069409,0.033223476,-0.10066266,-0.03666371,-0.034709096,-0.030726878,0.012141101,-0.035237823,0.10236619,-0.05470513,-0.09842891,0.044180296,-0.009174409,-0.012488883,-0.016255118,-0.019821702,-0.08032671,0.037926786,0.04648194,-0.057002563,-0.048492063,-0.06605491,-0.047413092,-0.05536384,0.038617212,0.063732944,-0.10633142,0.07403121,0.089187846,0.080170885,0.12177263,0.029764272,-0.042844746,0.0023591258,-0.16258608,-0.080213256,0.22319722,0.033082005,0.094917834,-0.043598235,0.13308771,0.1094656,-0.10222081,0.031728435,-0.04208094,-0.04754538,-0.05002888,0.008548475,0.027777541,0.043475643,-0.0076087676,0.13864847,-0.08432742,-0.10820927,-0.12315159,-0.14547127,0.043693084,-0.0702398,0.01154575,0.091411375,0.06782759,0.015508855,0.02419117,0.053315435,0.053999685,-0.019545421,-0.009569708,-0.024946261,-0.07987585,0.16535553,0.056653254,0.114499144,-0.036218166,-0.005335305,0.09558336,0.074305594,-0.0036486199,-0.020902846
10,-0.0785637,-0.044108324,-0.21123998,0.035418663,0.021444011,-0.06919185,-0.17882685,0.033018995,-0.026183035,0.10707896,-0.09686379,0.19193077,-0.04823829,0.033245675,0.0046908176,-0.011370987,-0.04545768,-0.06537294,0.10707371,0.0024314222,0.12871487,0.020293774,-0.031527333,-0.019673033,-0.03680146,-0.023820361,0.06097857,-0.06726953,0.008029529,0.034289386,0.0828831,0.15585157,0.09188595,0.022553248,0.11686679,0.066263124,-0.07778203,0.087472305,-0.022084748,-0.10089812,-0.10652135,-0.05652181,0.051310483,-0.17957689,0.07598779,0.04795658,0.08022479,0.06520973,-0.022202155,0.10303394,0.11175656,0.024061121,-0.09335502,-0.03591034,-0.034438867,-0.033487048,0.018058864,-0.038817268,0.094112754,-0.05778695,-0.09422787,0.055391617,-0.008594925,-0.0026086548,-0.012016424,-0.011367214,-0.07720159,0.04417923,0.038574334,-0.049712922,-0.044738498,-0.072156325,-0.046592776,-0.05346021,0.04198235,0.061498247,-0.10086363,0.07454538,0.08519689,0.06857053,0.12084159,0.024811076,-0.039928615,0.009897318,-0.15963982,-0.07190778,0.22517692,0.026888872,0.08866907,-0.05180718,0.12988771,0.11829087,-0.09384327,0.022579387,-0.036724444,-0.050478324,-0.045632254,0.0078115067,0.025917348,0.051190738,-0.0064051133,0.13163374,-0.08075773,-0.101606846,-0.1215514,-0.1323524,0.038852636,-0.057044834,0.014634055,0.08973337,0.07143395,0.01066704,0.020904634,0.055416044,0.053737365,-0.026291002,-0.018453166,-0.013099498,-0.07898414,0.16652456,0.061212104,0.11948959,-0.046887413,-0.018983342,0.094869375,0.07897045,-0.006499173,-0.01980166
100,-0.05602753,-0.029734747,-0.16061737,0.038373783,0.0070820954,-0.05596829,-0.13958392,0.026710354,-0.026918834,0.07880731,-0.07215059,0.1582008,-0.04524503,0.02406842,0.0045726104,-0.010352106,-0.044097617,-0.049080417,0.08173913,-0.0019517207,0.0905826,0.016567754,-0.013244539,-0.020609736,-0.03233073,-0.018641446,0.04626835,-0.0586519,0.00922077,0.030052315,0.06696145,0.12926687,0.064563714,0.025785226,0.082531795,0.055821076,-0.060849622,0.06637928,-0.01069931,-0.06779503,-0.074192554,-0.05247825,0.039067972,-0.12949355,0.052816305,0.03500754,0.063759856,0.05254295,-0.017479235,0.073705025,0.08473327,0.025392774,-0.07179299,-0.03558883,-0.033475216,-0.017056614,0.017431768,-0.023282627,0.07295227,-0.046465743,-0.068416856,0.034190904,-0.00036375617,-0.011196697,-0.00709866,-0.013714212,-0.05259332,0.039431352,0.027403502,-0.0369538,-0.038218614,-0.045957237,-0.032659233,-0.036385756,0.026561119,0.047456667,-0.08133486,0.060815472,0.066347815,0.060465105,0.0817791,0.024364362,-0.028380983,0.009146961,-0.1128595,-0.053962722,0.16281815,0.014436591,0.07509093,-0.02796669,0.093920656,0.093769014,-0.06948248,0.014443,-0.02194043,-0.040972404,-0.03305381,0.0030027216,0.022514693,0.03934102,-0.002978769,0.10320876,-0.051903732,-0.07613362,-0.08224975,-0.104459845,0.040044993,-0.050066832,0.012585125,0.07128294,0.059121232,0.015850715,0.008106763,0.043985907,0.044936955,-0.012067443,-0.01578607,-0.020688824,-0.061275285,0.13117792,0.03500084,0.08751339,-0.023614466,-0.0111078685,0.07251488,0.05944127,-0.0012521538,-0.018208219
1000,-0.06689501,-0.031971663,-0.15702827,0.030992316,0.004249607,-0.05073646,-0.13323157,0.024448453,-0.024916796,0.08538895,-0.06269664,0.1576,-0.0406777,0.035016716,0.010751059,-0.008353255,-0.044631477,-0.055602197,0.07336638,-0.0016312802,0.09298318,0.019387798,-0.026356153,-0.02133307,-0.0384209,-0.019343581,0.043962095,-0.051561818,-0.0008884629,0.03503034,0.05915489,0.1174023,0.06714291,0.025496596,0.088892184,0.046155885,-0.05573027,0.07922555,-0.015669873,-0.079298496,-0.0858446,-0.04548765,0.034984227,-0.1385957,0.047875088,0.030473158,0.055852763,0.053077005,-0.007927425,0.08133407,0.07840255,0.017945075,-0.07864437,-0.038634032,-0.038247164,-0.020033358,0.014298992,-0.027391056,0.08000351,-0.033775244,-0.06958017,0.034866147,-0.01011631,-0.0010545057,-0.019844096,-0.013204598,-0.05519711,0.03786628,0.029998738,-0.03426313,-0.034434214,-0.0422076,-0.039382122,-0.0331833,0.027173981,0.04560734,-0.07342133,0.05339014,0.063185446,0.051875457,0.08452969,0.028031314,-0.022903292,0.00696543,-0.12533912,-0.060533863,0.16581433,0.015568191,0.07167691,-0.030847074,0.10032588,0.08834233,-0.08224564,0.022632554,-0.02825498,-0.037235927,-0.028467454,0.008772411,0.025848635,0.03139508,0.0049096406,0.10976454,-0.050557192,-0.07906281,-0.0945678,-0.110906154,0.038597815,-0.048567005,0.012067041,0.069614574,0.05778493,0.006374447,0.010716366,0.04593575,0.047607034,-0.0096550705,-0.018479967,-0.01927233,-0.05602731,0.12001029,0.037316144,0.09636416,-0.028109973,-0.013181802,0.07472354,0.061923414,0.00046831797,-0.01546571
1001,-0.07583227,-0.04664847,-0.1819728,0.036408335,0.01920466,-0.07286845,-0.16996811,0.026915478,-0.03618493,0.10935493,-0.07781599,0.17644103,-0.03701767,0.039147113,0.01064135,-0.006723862,-0.054289825,-0.051345155,0.088658296,0.0046768463,0.12144205,0.022516783,-0.025687218,-0.021897487,-0.041752126,-0.018253226,0.05776396,-0.065202594,-0.00078695617,0.03893728,0.07319433,0.14325537,0.082784705,0.022191878,0.10003362,0.068281405,-0.0638282,0.0857946,-0.012088205,-0.08492466,-0.09374151,-0.05761369,0.04347145,-0.1674507,0.07205499,0.041751068,0.074592896,0.054117035,-0.0110217,0.10121474,0.10528376,0.02151107,-0.09012079,-0.030330142,-0.040617596,-0.02090152,0.009395559,-0.037713815,0.0845259,-0.054346617,-0.08032453,0.03892929,-0.0007618207,-0.01232637,-0.015040899,-0.0227501,-0.07240261,0.0368166,0.035184912,-0.04082258,-0.046972595,-0.06414275,-0.04471582,-0.0396856,0.029312432,0.06669813,-0.097669825,0.06889639,0.081597656,0.073567316,0.098536745,0.021884859,-0.04278825,0.00011336551,-0.14557007,-0.0718502,0.20675622,0.02372218,0.089920804,-0.035980247,0.11168451,0.11260263,-0.08365878,0.01873095,-0.03978843,-0.050208326,-0.044350363,0.007448775,0.022832347,0.03848413,-0.0035951312,0.12037079,-0.06534302,-0.09648648,-0.104556456,-0.13018785,0.045413036,-0.05134612,0.0077659953,0.07511004,0.06791936,0.0028792259,0.014806981,0.045207065,0.05359156,-0.023730557,-0.018539693,-0.012926796,-0.06632057,0.14808595,0.049742106,0.11056979,-0.031895462,-0.016082125,0.08436034,0.07620952,-0.005609773,-0.010480443
1002,-0.068443835,-0.036508337,-0.17185701,0.0340854,0.020265056,-0.060613416,-0.1369869,0.020915,-0.022568446,0.08830182,-0.06390223,0.17014901,-0.038579445,0.022519853,-0.00155564,-0.019206144,-0.044785693,-0.0487816,0.07956638,-0.007910286,0.11163724,0.013648153,-0.017514186,-0.015792659,-0.027112288,-0.02412003,0.046090785,-0.05999152,0.00061923155,0.03295496,0.06042994,0.13615784,0.07814908,0.01682087,0.09632105,0.051681798,-0.0612449,0.076137014,-0.009462964,-0.07256386,-0.080290295,-0.0522118,0.033270847,-0.1468492,0.0626491,0.033338152,0.064145535,0.057523083,-0.007510589,0.079337515,0.0879925,0.016690157,-0.08622179,-0.025500514,-0.03805814,-0.025735617,0.015711116,-0.028572744,0.08538468,-0.044166647,-0.084142745,0.037063252,0.0007520633,-0.014579488,-0.01307032,-0.019684207,-0.068614714,0.04071481,0.043245062,-0.03815099,-0.03853637,-0.052832417,-0.04989545,-0.03952401,0.031445853,0.045966156,-0.08396299,0.07163631,0.059749324,0.061599005,0.09333563,0.021579502,-0.028468603,0.007285558,-0.1348384,-0.058127362,0.18519275,0.015546832,0.085767336,-0.045813087,0.100558,0.08871193,-0.07371447,0.022859178,-0.034725588,-0.03651302,-0.033165734,-0.006666758,0.019541146,0.036889948,0.0019271717,0.106356986,-0.064182095,-0.08393426,-0.09070659,-0.11501144,0.03570232,-0.048320204,0.012808015,0.07041242,0.05729941,0.0061749406,0.0071720816,0.03957869,0.053467445,-0.024520284,-0.01701692,-0.008300501,-0.0646068,0.12835513,0.05176326,0.097925685,-0.03807338,-0.016006062,0.0760536,0.06473546,-0.0038169413,-0.006963222
1003,-0.06798858,-0.033728343,-0.17200166,0.029457452,0.019115143,-0.0607884,-0.15251572,0.01998733,-0.036845114,0.10175662,-0.07533359,0.167138,-0.03831188,0.029923823,0.0032480126,-0.01893398,-0.045840736,-0.05735248,0.0930994,0.0035507164,0.11036235,0.0137368115,-0.024622941,-0.022699416,-0.0316331,-0.020335013,0.04460783,-0.053432424,0.0037745656,0.038791187,0.06292887,0.1460453,0.07974564,0.022656407,0.096955106,0.058494665,-0.06943342,0.0887813,-0.019283894,-0.084905006,-0.09526928,-0.049315214,0.042493343,-0.14849292,0.069080316,0.03992848,0.07366645,0.06490272,-0.020144321,0.08394596,0.09438734,0.01565547,-0.08154869,-0.043603893,-0.040087543,-0.017537763,0.016272789,-0.024350213,0.092066616,-0.042153873,-0.07477409,0.037572503,-0.00038980643,-0.004149784,-0.017283617,-0.015133127,-0.05901738,0.0430139,0.033769358,-0.046254344,-0.032523967,-0.05023169,-0.038347505,-0.04789688,0.040554512,0.057926245,-0.08858608,0.071207084,0.06202381,0.062474247,0.10699062,0.018598305,-0.029383158,0.0046046283,-0.13894245,-0.06472448,0.19221823,0.029046549,0.07560435,-0.039487038,0.10389546,0.09979893,-0.09099913,0.017129174,-0.027111877,-0.037490893,-0.04775589,0.0018879324,0.03123489,0.03949326,-0.0051258993,0.11251397,-0.060756706,-0.081903376,-0.10001107,-0.1254624,0.04037382,-0.05577871,-0.0010797618,0.07742625,0.06645247,0.005479678,0.013584306,0.05131979,0.05057201,-0.012235515,-0.011902589,-0.018729221,-0.06110285,0.13591182,0.05467898,0.10828324,-0.03388039,-0.014506969,0.082651496,0.05955327,-0.0038961228,-0.018746058
1004,-0.08277584,-0.04336955,-0.18953736,0.032017414,0.00879369,-0.06480643,-0.16698961,0.030737186,-0.031285595,0.09594871,-0.081432186,0.1811176,-0.043786004,0.032003418,0.0027527278,-0.0076912483,-0.049034007,-0.057015937,0.08953423,-0.0065727923,0.12239096,0.016403882,-0.029436791,-0.027759535,-0.032730486,-0.017080892,0.056142136,-0.07091303,0.011446169,0.04152288,0.07070661,0.1446438,0.08684399,0.019926792,0.10303473,0.058560982,-0.07935737,0.08117513,-0.02165565,-0.08747527,-0.095963106,-0.062549844,0.04164462,-0.16616157,0.07235159,0.035631906,0.0685163,0.056684367,-0.008363221,0.09982135,0.111345835,0.031121844,-0.087454304,-0.039011374,-0.030111287,-0.020801796,0.0055093095,-0.033748396,0.09153112,-0.044500645,-0.093992755,0.044326447,0.004475108,-0.007106019,-0.010943842,-0.017673997,-0.07730179,0.033055037,0.04506274,-0.05590315,-0.048088316,-0.064826,-0.050585866,-0.050777342,0.03169103,0.05705539,-0.091132864,0.066153444,0.08183472,0.061590955,0.10472216,0.027903786,-0.03241882,0.011885525,-0.13985457,-0.06202984,0.20290747,0.027274659,0.08639482,-0.043351118,0.12083683,0.10095192,-0.0959794,0.018012444,-0.03694463,-0.055438656,-0.039258447,-0.0012135423,0.025997931,0.044595003,-0.002519567,0.12235862,-0.07308578,-0.088226095,-0.09929832,-0.12863949,0.03556382,-0.058289696,0.0034293563,0.08600785,0.06255959,0.009974568,0.0164812,0.04832645,0.055199675,-0.015218231,-0.02097963,-0.02194934,-0.06492676,0.14892523,0.04855762,0.11025717,-0.02880318,-0.0143143665,0.09116418,0.06649315,-0.0026649113,-0.018078927
1005,-0.06284218,-0.030427897,-0.16514854,0.03683369,0.009561349,-0.060176183,-0.1527913,0.027217705,-0.020174824,0.09643847,-0.08080301,0.16068484,-0.03431912,0.025124703,-0.0022302917,-0.014977826,-0.038091075,-0.05464712,0.081479594,0.0021507943,0.107407264,0.026844336,-0.0144627355,-0.02538505,-0.026948223,-0.015119655,0.03826683,-0.051404767,-0.004683851,0.03077239,0.06291302,0.13327968,0.08079428,0.017581614,0.085432604,0.049965817,-0.060697053,0.07702553,-0.019903814,-0.079844356,-0.08495235,-0.044415206,0.04203519,-0.14179854,0.06474296,0.033723846,0.06706769,0.058089063,-0.01821977,0.091913946,0.10149657,0.016422698,-0.07728128,-0.028580744,-0.035660256,-0.021411553,0.011553615,-0.02241607,0.07739307,-0.041170448,-0.077209674,0.040298287,-0.007653588,-0.0043464596,-0.008169322,-0.014894019,-0.058107127,0.041538656,0.032949813,-0.03838245,-0.037709724,-0.050795432,-0.041174207,-0.049612343,0.039875284,0.05664198,-0.0903504,0.058447726,0.07141993,0.06816882,0.09834256,0.02986552,-0.028586412,0.012527461,-0.12930365,-0.058451485,0.18286046,0.028542636,0.07199626,-0.04174965,0.09739763,0.09086655,-0.08809195,0.01643001,-0.039419837,-0.05127358,-0.03456414,0.007273856,0.02726397,0.034902617,0.0003307121,0.111401744,-0.06732617,-0.08202341,-0.09725795,-0.117849216,0.035782035,-0.0462261,-0.0004852728,0.08029873,0.06586204,0.0048073325,0.00874405,0.047830712,0.053577114,-0.020270523,-0.005396455,-0.014904484,-0.06243001,0.13644436,0.053278603,0.09364355,-0.03498689,-0.0060875076,0.08407866,0.05668701,-0.0028161472,-0.008768634
