text,label,splitted
"""Politicians and diapers must be changed often, and for the same reason.""",fallacy of logic,"""Politicians and diapers must be changed often, and for the same reason."""
Mr. Casal was very tired because he had no energy.,circular reasoning,Mr. Casal was very tired because[SEP]he had no energy.
"“All those opposed to my arguments for the opening of a new department, signify by saying, ‘I quit.’""",appeal to emotion,"“All those opposed to my arguments for the opening of a new department,[SEP]signify by saying, ‘I quit.’"""
Did the pollution you caused increase or decrease your profits?,intentional,Did the pollution you caused increase or decrease your profits?
10 of the last 14 National Spelling Bee Champions have been Indian American. Indian Americans must all be great spellers!,faulty generalization,10 of the last 14 National Spelling Bee Champions have been Indian American.[SEP]Indian Americans must all be great spellers!
"If you don't drive a car, you hate the Earth.",fallacy of extension,"If you don't drive a car,[SEP]you hate the Earth."
People either like coffee or hate it.,false dilemma,People either like coffee or hate it.
"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun.",ad populum,"Justin Beiber wears Ray Bans, so[SEP]you should buy a pair to wear in the sun."
"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",ad hominem,"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.[SEP]Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously."
The newest brand jeans that everyone is wearing are called Blue Dogs. Blue Dogs are being worn by all young teens. Be sure to go out and buy your new jeans at your local mall.,ad populum,The newest brand jeans that everyone is wearing are called Blue Dogs.[SEP]Blue Dogs are being worn by all young teens.[SEP]Be sure to go out and buy your new jeans at your local mall.
The accident was caused by the taxi parking in the street,false causality,The accident was caused by the taxi parking in the street
"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called...",false dilemma,"When a statement falsely claims or assumes an ""either / or"" situation,[SEP]when in fact there is at least one additional logically valid option,[SEP]it is called..."
"Even without watching the movie, I just know that it would not be as good as the book.",faulty generalization,"Even without watching the movie,[SEP]I just know that it would not be as good as the book."
"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God.",equivocation,"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God."
"Service Tech: Your car could use some new tires. Bart: You have a financial interest in selling me tires, why should I trust you? Service Tech: You brought your car to me to have it checked, sir. Bart: I brought my car to the shop where you work. Service Tech: So should we forget about the new tires for now? Bart: I never suggested that.  Are you trying to use reverse psychology on me, so I will buy the tires?",fallacy of relevance,"Service Tech: Your car could use some new tires.[SEP]Bart: You have a financial interest in selling me tires, why should I trust you?[SEP]Service Tech: You brought your car to me to have it checked, sir.[SEP]Bart: I brought my car to the shop where you work.[SEP]Service Tech: So should we forget about the new tires for now?[SEP]Bart: I never suggested that.  Are you trying to use reverse psychology on me, so I will buy the tires?"
"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!""",ad populum,"""Chick-Fil-A is the greatest food chain in existence.[SEP]Look at the crowds!"""
Fortnite is the best game ever. Everyone is playing it!,ad populum,Fortnite is the best game ever.[SEP]Everyone is playing it!
"Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you.",ad populum,"Everyone I know is making fruit smoothies for quick, portable meals,[SEP]so smoothies must be really good for you."
ALL teenagers are irresponsible,faulty generalization,ALL teenagers are irresponsible
My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.,faulty generalization,My brother Humza eats cheeseburgers and pizza.[SEP]He is thin.[SEP]Cheeseburgers and pizza aren’t the cause of obesity.
