text,label
"""Politicians and diapers must be changed often, and for the same reason.""",fallacies of defective induction
Mr. Casal was very tired because he had no energy.,fallacies of presumption
"“All those opposed to my arguments for the opening of a new department, signify by saying, ‘I quit.’""",fallacy of relevance
Did the pollution you caused increase or decrease your profits?,fallacy of relevance
10 of the last 14 National Spelling Bee Champions have been Indian American. Indian Americans must all be great spellers!,fallacies of defective induction
"If you don't drive a car, you hate the Earth.",fallacy of relevance
People either like coffee or hate it.,fallacies of defective induction
"Justin Beiber wears Ray Bans, so you should buy a pair to wear in the sun.",fallacy of relevance
"He was born to Catholic parents and raised as a Catholic until his confirmation in 8th grade.  Therefore, he is bound to want to defend some Catholic traditions and, therefore, cannot be taken seriously.",fallacy of relevance
The newest brand jeans that everyone is wearing are called Blue Dogs. Blue Dogs are being worn by all young teens. Be sure to go out and buy your new jeans at your local mall.,fallacy of relevance
The accident was caused by the taxi parking in the street,fallacies of defective induction
"When a statement falsely claims or assumes an ""either / or"" situation, when in fact there is at least one additional logically valid option, it is called...",fallacies of defective induction
"Even without watching the movie, I just know that it would not be as good as the book.",fallacies of defective induction
"All living beings come from other living beings.  Therefore, the first forms of life must have come from a living being.  That living being is God.",fallacy of ambiguity
"Service Tech: Your car could use some new tires. Bart: You have a financial interest in selling me tires, why should I trust you? Service Tech: You brought your car to me to have it checked, sir. Bart: I brought my car to the shop where you work. Service Tech: So should we forget about the new tires for now? Bart: I never suggested that.  Are you trying to use reverse psychology on me, so I will buy the tires?",fallacy of relevance
"""Chick-Fil-A is the greatest food chain in existence. Look at the crowds!""",fallacy of relevance
Fortnite is the best game ever. Everyone is playing it!,fallacy of relevance
"Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you.",fallacy of relevance
ALL teenagers are irresponsible,fallacies of defective induction
My brother Humza eats cheeseburgers and pizza. He is thin. Cheeseburgers and pizza aren’t the cause of obesity.,fallacies of defective induction
"Girl:"" I'm worried that my friend is mad at me."" Friend: ""I wonder what you call a male lady bug?""",fallacies of defective induction
The news is fake because so much of the news is fake.,fallacies of presumption
You should certainly be the one who washes the dishes -- you are just so good at it!,fallacy of relevance
There's no point listening to you. Everybody knows you're just a little do-gooder.,fallacy of relevance
"If you don't buy the warranty for your chromebook, you could find yourself without one for the rest of the schoolyear and having to pay thousands of dollars in expensive repairs",fallacy of relevance
"Argues that because something is popular, it must be right.",fallacy of relevance
I can’t take home a B in this course. My parents will be angry with me.,fallacy of relevance
"Laura is the class president. She believes that the class should sponsor a dance as a fundraiser. Then she learns that a group of girls that she doesn't like also support the idea of a dance as a fundraiser. So, Laura changes her mind and decides that the class should plan a race instead.",fallacies of defective induction
blame opponent's policy for the country's problems,fallacies of defective induction
"If the state can require car seats for small children and infants, they can just as easily require mothers to breast-feed instead of using formula.",fallacies of defective induction
"These test results are clearly wrong, and it must be either because the client was malingering or because I bungled the test administration. Taking another look at the test manual, I see now that I bungled the test administration. Therefore the client was not malingering.",fallacies of defective induction
“four out of five dentists agree that brushing your teeth makes your life meaningful”,fallacies of defective induction
"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion.",fallacy of ambiguity
"If you are not with us, you are against us.",fallacies of defective induction
"Fred, the German, stole my wallet. Therefore, all Germans are thieves.",fallacies of defective induction
My opponent argues that we should abolish the soda tax. It's a shame that he wants to encourage people to eat and drink unhealthily. I say we keep it.,fallacy of relevance
"My first time meeting Mr. Casal went poorly, so his class will not be a good one this year.",fallacies of defective induction
I called my friend and he didn't answer. He wasn't home or he was dead.,fallacies of defective induction
"Don't try to tell me that you only watch educational programming, Emmy! I know for a fact that your sister only watches reality television.",fallacies of defective induction
Have you stopped cheating on exams?,fallacy of relevance
"Dr. Fauci says we need to wear masks, but Dr. Fauci is the oldest, meanest doctor around. I’m sure what he says isn’t true at all.",fallacy of relevance
This persuasive technique is used to make you feel left out if you don't join the group.,fallacy of relevance
"Matthieu was the only player on the team who didn't grow a playoff beard, and thus he ended up getting injured.",fallacies of defective induction
"""The two courses I took at UWI were not very interesting. I don't think its a good university.""",fallacies of defective induction
You didn't remember to take out the trash this morning. It will pile up and the neighbors will complain and the health inspectors will come and take away the kids.,fallacies of defective induction
To justify support for a position by citing an esteemed or well-known figure who supports it.,fallacies of defective induction
"Everyone uses Social Media to fundraise, therefore there's no problem with asking for money on social media sites as long as it's going to charity",fallacy of relevance
George Bush is a good communicator because he speaks effectively.,fallacies of presumption
Speaker 1: I’m against the war. Speaker 2: You must hate our troops.,fallacies of defective induction
"Not only is paying a higher income tax a patriotic duty, it is also a sacred obligation.",fallacy of relevance
"Some students who attend tutoring over the summer are not very intelligent. Since Beth attended summer tutoring, she is not a very good student.",fallacies of defective induction
"While debating with a friend on which movie would be better to see, you use the argument that your opinion on movies is better because your friend picks their nose, so we shouldn’t trust them because that’s gross",fallacy of relevance
"""I see nobody on the road,"" said Alice. ""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light.""",fallacy of ambiguity
What is The Texas Sharpshooter?,fallacy of relevance
"Scientist: Evolution explains how animals developed, adapted and diversified over millions of years. Opponent: If we evolved from monkeys, why are there still monkeys? And why don't we have three arms? Wouldn't that give me a competitive advantage?",fallacy of relevance
"""Everyone is wearing the new skinny jeans from American Eagle. Are you?""",fallacy of relevance
"A local politician plans to expand the municipality's cycle network and to add several new speed cameras in densely populated areas. Their opponent says, ""They want us all to give up driving forever. They're punishing the honest car owners and commuters that help pay these politicians' salaries.""",fallacy of relevance
You don’t have to do this. My grandmother is in the hospital. I need my salary to support her medication. She’s dying.,fallacy of relevance
But this here research must go on. This space effort must go on,fallacies of presumption
"Nuclear disarmament is a risk, but everything in life involves a risk. Every time you drive in a car you are taking a risk. If you're willing to drive in a car, you should be willing to have disarmament.",fallacies of defective induction
Speaker 1: Dr. Singh says meat eating is bad for the environment. Speaker 2: He’s a Sikh. They don’t eat meat. Of course he would say that. He can’t be telling the truth.,fallacy of relevance
This is why a woman shouldn’t do a man's job,fallacy of relevance
