predictions,true_labels,cases
fallacy of logic,fallacy of logic,"MSK0 refer to MSK1 MSK3 all the time when MSK0 are treating patients . In the same way , MSK2 should be allowed to use a MSK3 in MSK2 MSK1 exam ."
appeal to emotion,appeal to emotion,", MSK0 relief MSK1 of MSK0 cut , or death MSK0 MSK1 of estate MSK0 )"
faulty generalization,faulty generalization,"The MSK0 that bit was MSK1 , therefore all MSK0 are MSK1 ."
circular reasoning,circular reasoning,""" ' What about MSK1 , ma'am ? '' "" ' I 'm not sure . Is MSK2 a MSK1 ? Or is it the MSK3 that MSK4 're MSK5 to MSK6 MSK2 is a MSK1 that is actually the MSK1 ? ' "" ' Or perhaps the MSK3 you 're MSK5 to MSK6 MSK2 is n't a MSK1 is what makes MSK2 a MSK1 after all . ' "" ' MSK4 're talking serious metaherrings here . ' """
ad hominem,ad hominem,or MSK0 in order to discredit an idea with which the person or MSK0 is associated ; distracts the reader from the real issue
fallacy of credibility,ad hominem,John agrees with me that MSK0 energy MSK0 are bad for you .
ad hominem,ad hominem,"MSK0 : "" MSK0 MSK1 that Obamacare is wrong . "" MSK2 : "" Of course MSK2 would say that , MSK2 're a MSK3 . "" MSK0 : "" What about the arguments MSK0 gave to MSK4 MSK0 position ? "" MSK2 : "" Those do n't count . Like MSK0 said , MSK2 're a MSK3 , so MSK2 have to MSK4 the party line . Further , MSK2 are just a lapdog to the MSK3 incumbent so MSK2 can get a job , so MSK0 ca n't MSK1 what MSK2 say . """
faulty generalization,faulty generalization,"MSK0 assures MSK0 that MSK1 to natural MSK4 , even MSK1 resulting in mild sunburn , is still significantly less of a cancer risk than brief MSK1 to the artificial MSK4 in a MSK2 bed . So MSK0 make sure to tell all of MSK0 friends that if MSK3 ’re looking to get a tan this summer MSK3 should do it outdoors , and not at the MSK2 salon !"
ad populum,ad populum,claiming that MSK0 is true simply because MSK0 is what most people believe
false dilemma,false dilemma,"How do you expect MSK0 to MSK1 a MSK2 voucher MSK3 ? Soon , all of MSK4 inner - city MSK2 will have no money left , MSK4 children will give up hope , and the entire education system will collapse . No , there 's no way MSK0 could MSK1 a MSK3 that will do all that ."
ad hominem,ad hominem,"MSK0 is running for class president . In MSK0 campaign speech MSK0 says , "" MSK0 opponent does not deserve to win . MSK0 is a smoker and MSK0 cheated on MSK0 boyfriend last year . "" What fallacy has MSK0 committed ?"
fallacy of credibility,false causality,A misrepresentation of MSK0 that makes MSK0 easier to argue against
false causality,false causality,""" MSK0 drank MSK1 and now MSK0 am MSK2 , so MSK1 must have made MSK0 MSK2 . "" What logical fallacy is used in the statement above ?"
ad hominem,faulty generalization,""" You 're clearly just too young to understand what ’s happening . ” The statement is an example of …"
fallacy of credibility,intentional,"MSK0 is preparing to create a commercial for a new energy MSK1 . MSK0 visits MSK2 in MSK3 . The majority of MSK3 says MSK2 prefer MSK4 MSK5 MSK1 , so MSK0 tells MSK0 superiors that MSK4 is the MSK5 favored most by high school students . What error in reasoning has MSK0 made ?"
appeal to emotion,faulty generalization,This fallacy is a distraction from the argument typically with some sentiment that seems to be relevant but is n’t really on - topic .
ad populum,ad populum,"' MSK0 family has always been MSK1 , so MSK0 should always be MSK1 '' is an example of which logical fallacy ?"
ad populum,ad populum,MSK0 must exist because most people believe in MSK0 .
faulty generalization,ad hominem,""" All sports car drivers are too aggressive ! "" is an example of :"
fallacy of logic,fallacy of logic,"All MSK0 MSK1 are MSK2 . No MSK3 MSK1 are MSK0 MSK1 . Therefore , no MSK3 MSK1 are MSK2 ."
fallacy of relevance,fallacy of relevance,MSK4 : MSK1 really think MSK2 need to do something about the rising levels of MSK3 and homelessness in MSK2 country . MSK4 : Why are MSK1 worried about MSK3 ? Look how many children MSK2 abort every day .
fallacy of logic,equivocation,"MSK0 says , "" MSK0 ca n't prove that MSK1 do n't exist , so MSK1 must be real . "" coref2 is an example of which logical fallacy ?"
ad populum,fallacy of credibility,Of course MSK0 would want to go MSK1 on field trip day - MSK1 is the only thing MSK0 ever does ! MSK0 should n't be allowed to choose an activity .
fallacy of logic,fallacy of logic,""" MSK0 is like a MSK1 , MSK3 through difficult problems . But just as too much MSK3 MSK2 a MSK1 , so too much education MSK2 MSK0 . """
fallacy of extension,fallacy of extension,"A local politician plans to expand the municipality 's cycle network and to add several new speed cameras in densely populated areas . MSK0 opponent says , "" MSK0 want us MSK0 to give up driving forever . MSK0 're punishing the honest car owners and commuters that help pay MSK0 salaries . """
circular reasoning,equivocation,"MSK0 is a MSK2 . MSK0 comes from MSK3 . Therefore , all MSK3 are MSK2 . """
fallacy of credibility,fallacy of credibility,"MSK0 said that that was all cool and everything , but MSK0 grandfather MSK1 , like , 30 MSK1 a day and lived until 97 - so do n't believe everything you read about meta analyses of methodologically sound studies showing proven causal relationships ."
false causality,false causality,"MSK0 notices that many of MSK0 friends have started MSK1 a low - carb diet and drinking protein shakes . MSK0 decides that this must be the healthy way to MSK1 , so MSK0 joins them ."
fallacy of extension,circular reasoning,Consider the following exchange : Omar : I MSK0 capital punishment is a necessary component of MSK1 justice system and should remain MSK2 . MSK3 : So MSK3 are saying that murder should be MSK2 and MSK4 is okay for MSK1 to go around killing MSK5 just because MSK1 MSK0 MSK5 deserve MSK4 ? That is n't right . Of what fallacy is MSK3 guilty ?
ad populum,ad populum,"MSK0 are great . MSK0 are MSK2 . Therefore , all MSK2 are coref1 movies ."
faulty generalization,false causality,"MSK1 MSK0 know the exam is graded based on performance , but you should give MSK0 an A. MSK0 cat has been sick , MSK0 broke down , and MSK0 ’ve had a cold , so coref1 was really hard for MSK0 to study ! MSK1"
faulty generalization,ad hominem,"Every time that MSK0 crows , the sun comes up . MSK0 must be very powerful and important !"
ad hominem,ad hominem,MSK0 : MSK0 should not be MSK1 that ... it has been scientifically proven that MSK1 MSK3 are no good for MSK0 health . Hugh : MSK0 MSK1 MSK3 all the time so that ca n’t be true .
circular reasoning,circular reasoning,we should not build MSK0 lanes because MSK0 run red lights
faulty generalization,faulty generalization,"There are no good restaurants in New York ; I tried two in Times Square , and they were awful ."
fallacy of credibility,fallacy of logic,MSK0 is the most successful MSK1 the town has ever had because MSK0 's the best MSK1 of our history .
ad hominem,ad hominem,"Before he died , MSK0 MSK1 in favor of legalizing pornography . But MSK0 MSK1 are nothing but trash . MSK0 was a pot - smoking homosexual and a thoroughgoing advocate of the drug culture ."
intentional,intentional,MSK1 on what MSK1 in .
false dilemma,false dilemma,We should ban all hairspray or the world will end !
fallacy of logic,fallacy of logic,"If MSK0 MSK1 , MSK0 is a MSK2 . MSK0 does n’t MSK1 . Therefore , MSK0 ’s not a MSK2 ."
appeal to emotion,fallacy of logic,"MSK0 is poorly made ; MSK1 has one , and MSK0 continually gives MSK1 trouble ."
false dilemma,faulty generalization,"MSK0 is in bad shape . Either MSK1 MSK2 MSK0 down and put up MSK3 , or MSK1 continue to MSK4 students ’ MSK5 . Obviously , MSK1 should n’t MSK4 anyone ’s MSK5 , so MSK1 must MSK2 MSK3 down . ”"
false causality,ad populum,Which type of logical fallacy is used when a writer incorrectly states that one event has caused another ?
intentional,ad populum,Which type of logical fallacy is used when a writer incorrectly states that one event has caused another ?
faulty generalization,faulty generalization,"Victor , the company MSK0 work for just filed for bankruptcy ! How can I trust MSK0 with our money ?"
faulty generalization,faulty generalization,""" The two courses MSK0 took at UF were not very interesting . MSK0 do n't think its a good university . """
circular reasoning,circular reasoning,You are either with God or against him .
false dilemma,false dilemma,Either we pass this ordinance or there will be rioting in the streets .
ad hominem,ad hominem,"in response to the claim that "" MSK0 fast food is unhealthy "" : “ But I saw you MSK0 a burger and fries for lunch only a few hours ago ! """
appeal to emotion,appeal to emotion,MSK0 is using which type of persuasive appeal ? MSK0 has a picture which might make people feel sad .
ad hominem,ad hominem,"MSK0 raises a good point , but can we really trust MSK1 ? MSK0 mean MSK1 moved to this town only two years ago and everyone knows that MSK1 wife left MSK1 ."
ad populum,ad populum,MSK0 met a MSK1 person from MSK2 yesterday . MSK0 guess all MSK2 people are MSK1 .
appeal to emotion,appeal to emotion,If MSK0 do n't get MSK1 done then MSK0 will fall behind in MSK0 grade and will get backed up so MSK0 ca n't get MSK1 done . Then MSK0 will fail the class and turn to a life of crime .
faulty generalization,faulty generalization,"If MSK0 drive without car MSK1 , then MSK0 ’re an accident waiting to happen . Stay protected with Auto Union MSK1 ."
ad populum,ad populum,"The phrase "" Ninety percent of all people surveyed said that MSK0 is better than Burger King , so MSK0 can confidently say MSK0 are the best . "" represents which fallacy ?"
fallacy of extension,fallacy of extension,"Either MSK0 can save MSK0 money to buy a new car for MSK0 , or MSK0 can just take an Uber around for the rest of MSK0 life ."
circular reasoning,fallacy of relevance,"So MSK0 are speaking up about animal MSK1 , but what MSK0 should first focus on is human MSK1 ."
ad hominem,faulty generalization,""" MSK0 must be wrong on the issue of taxes because MSK0 's such a jerk to the people who work for MSK0 . """
fallacy of logic,fallacy of logic,"MSK0 gets into trouble for not meeting MSK1 at MSK0 school . When MSK0 teacher confronts MSK0 , MSK0 begins talking about how MSK1 is a punishment for MSK2 are able to wear whatever MSK2 want ."
faulty generalization,faulty generalization,""" MSK0 roommate said her MSK2 was MSK3 , and the one that MSK0 'm in right now is MSK3 , too . All MSK2 must be MSK3 ! ”"
circular reasoning,false dilemma,This is an example of ....
