text,label,coarse_label
"company's slogan ""Expect More. Pay Less.""",appeal to emotion,fallacy of relevance
"The bigger a child's shoe size, the better the child's handwriting",false causality,fallacies of defective induction
"Since many people believe this, then it must be true",ad populum,fallacy of relevance
Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,circular reasoning,fallacies of presumption
"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test.",fallacy of relevance,fallacy of relevance
A mother tells her children not to leave the yard because there might be wild animals in the woods.,appeal to emotion,fallacy of relevance
"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization,fallacies of defective induction
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,false causality,fallacies of defective induction
"""You were late tonight. You must be cheating!""",faulty generalization,fallacies of defective induction
"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",false causality,fallacies of defective induction
"Makes people feel as though everyone is doing it, so they should too.",ad populum,fallacy of relevance
You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad hominem,fallacy of relevance
"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance,fallacy of relevance
"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of extension,fallacy of relevance
"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion,fallacy of relevance
"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum,fallacy of relevance
Science shows us that improved quality of life comes through research and invention.,equivocation,fallacy of ambiguity
"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy of extension,fallacy of relevance
uses irrelevant information or other techniques to distract from the argument at hand,fallacy of relevance,fallacy of relevance
"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food.",fallacy of logic,fallacies of defective induction
"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",fallacy of extension,fallacy of relevance
"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy of credibility,fallacies of defective induction
"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum,fallacy of relevance
Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,fallacy of extension,fallacy of relevance
"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",fallacy of logic,fallacies of defective induction
"If there is no freewill, then we are not ultimately in control of our actions. If this is true, our entire system of justice would be seriously flawed. This would be very bad; therefore, freewill must exist.",appeal to emotion,fallacy of relevance
Students never used to have cell phones so they don't need them now.,fallacy of credibility,fallacies of defective induction
All football players are dumb jocks.,faulty generalization,fallacies of defective induction
"""My cousin said her Math class was hard. The one that I’m in is hard too. All Math classes must be hard.""
This statement is an example of…",faulty generalization,fallacies of defective induction
"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad hominem,fallacy of relevance
"Jack: I have tiny, invisible unicorns living in my anus.
Nick: How do you figure?
Jack: Can you prove that I don't?
Nick: No.
Jack: Then I do.
",intentional,fallacy of relevance
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.,ad hominem,fallacy of relevance
Using the second amendment as justification to allow civilians to own nuclear submarines.,faulty generalization,fallacies of defective induction
"Your brain is made of molecules.  Molecules are not the source of consciousness.  Therefore, your brain cannot be the source of consciousness.",faulty generalization,fallacies of defective induction
"The “prophet” Nostradamus wrote about 500 years ago:

Beasts wild with hunger will cross the rivers,
The greater part of the battle will be against Hister.
He will cause great men to be dragged in a cage of iron,
When the son of Germany obeys no law.

Surely he must have had some vision of Hitler!",intentional,fallacy of relevance
"You’re a vegetarian? You do realize that Hitler was a vegetarian, too?",ad hominem,fallacy of relevance
An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.,ad populum,fallacy of relevance
"""I am a great leader because I make great leadership decisions. The proof that I make great leadership decisions is that I am a great leader, and that's what leaders do."" What is this?",circular reasoning,fallacies of presumption
Mayor Blake wants to create more bicycle lanes in Lowell. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension,fallacy of relevance
You should give me a promotion. I have a lot of debt and am behind on my rent.,appeal to emotion,fallacy of relevance
All women care about are their looks.,faulty generalization,fallacies of defective induction
"Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.",false dilemma,fallacies of defective induction
"Either we go to war, or we appear weak",false dilemma,fallacies of defective induction
", tax relief instead of tax cut, or death tax instead of estate tax)",appeal to emotion,fallacy of relevance
"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",faulty generalization,fallacies of defective induction
Students should not be allowed to park in lots now reserved for faculty because those lots should be for faculty only.,circular reasoning,fallacies of presumption
Not tipping your waiter is like stealing money right out of someone's wallet.,fallacy of logic,fallacies of defective induction
You have to give me a passing grade. I spent 150 hours on that project and missed every party this quarter.,appeal to emotion,fallacy of relevance
"A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married. This really should not be a surprise considering the general view of divorce within religion. What this does not mean is that any given couple who does not attend church is more likely to get divorced than any given couple that does attend church.",faulty generalization,fallacies of defective induction
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,fallacies of presumption
AttP 1: Jenny & Bert's Economy Conversation,ad populum,fallacy of relevance
Allowing gay marriage puts us on the way to polygamy and bestiality,faulty generalization,fallacies of defective induction
"Debate moderator: ""What will you do to fix the economic crisis?"" Candidate: ""It's important to focus on what started this crisis to begin with. My opponent...""",fallacy of relevance,fallacy of relevance
"""I used to have that haircut. Then my mom got a job.""",ad hominem,fallacy of relevance
"My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry’s each night!
Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!",ad hominem,fallacy of relevance
"All useless laws, such as Reform Bill 13, should be repealed.",circular reasoning,fallacies of presumption
"FlatSam: Common sense tells us that if the earth were a sphere, people on the bottom would fall off.
ReasonEric: I don’t think you get to reference something you clearly don’t have.
",intentional,fallacy of relevance
I work out in the morning because it worked for my friend.,faulty generalization,fallacies of defective induction
"The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.",false causality,fallacies of defective induction
"I am committed to preserving traditional marriage, the union of one man and one woman.",fallacy of credibility,fallacies of defective induction
"John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.

Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.",faulty generalization,fallacies of defective induction
"John says that Kentucky will beat Florida, but John sometimes lies, so I'm not sure.",ad hominem,fallacy of relevance
"A fallacy of relevance where someone rejects or criticizes another person’s view on the basis of personal characteristics, background, physical appearance, or other features irrelevant to the",ad hominem,fallacy of relevance
"Nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.",fallacy of credibility,fallacies of defective induction
Having a television rating system is like being in prison.  Both infringe on one's rights.,faulty generalization,fallacies of defective induction
“There aren’t any good restaurants in Sydney; I tried two and they were both horrible.”,faulty generalization,fallacies of defective induction
"I hear the rain falling outside my window; therefore, the sun is not shining.",fallacy of logic,fallacies of defective induction
"""I stay away from those gatherings because I don't want to be brainwashed.""",circular reasoning,fallacies of presumption
"If Mom didn't turn off the air conditioner, then clearly she must be too hot.",false dilemma,fallacies of defective induction
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...",fallacy of relevance,fallacy of relevance
"Charlie: Illegal posting and sharing of songs online is crippling the music industry.
Bob: You couldn’t be more wrong; the music industry is doing just fine. I can’t believe you think the government should be allowed to regulate what I share with my “friends.” No one wants a world where I can’t loan a book to my girlfriend, let my roommate borrow my iPod, or share a funny meme with my blog followers.",fallacy of extension,fallacy of relevance
"""We've got to stop them from banning poetry. Once they start banning one form of literature, they will never stop. Next thing you know, they will be burning all the books!"" Ammar demanded.",faulty generalization,fallacies of defective induction
"Mayor: During my previous term as mayor my staff and I spent a great deal of time focusing on our city’s economy, and unemployment reached an all-time high as a result. So clearly you should support my re-election campaign if you are among those still looking for a job.",fallacy of logic,fallacies of defective induction
"Sometimes kids ride skateboards and fall off, breaking their arms or legs. Clearly, riding a skateboard is extremely dangerous. Don’t you think skateboards should be banned?",appeal to emotion,fallacy of relevance
Fortnite is the best game ever. Everyone is playing it!,ad populum,fallacy of relevance
"Several years ago, a group of 10 psychologists started a psychology training program. Each of those psychologists is efficient, effective, and highly-regarded. Their training program must be efficient, effective, and highly-regarded.",faulty generalization,fallacies of defective induction
Don't listen to her advice about math. She doesn't even know how to tie her own shoes!,ad hominem,fallacy of relevance
George Bush is a good communicator because he speaks effectively.,circular reasoning,fallacies of presumption
The Supreme Court has just flinched from its responsibility to stop the unjust jailing of two journalists―not charged with any wrongdoing―by a runaway prosecutor who will go to any lengths to use the government's contempt power to force them to betray their confidential sources.,appeal to emotion,fallacy of relevance
You can either support our police or Black Lives Matter.,false dilemma,fallacies of defective induction
"An abusive attack against someone making the argument, instead of the argument itself, is called a/an",ad hominem,fallacy of relevance
"Jon: Why should I bother exercising while my spouse is on vacation stuffing her face with food.
",appeal to emotion,fallacy of relevance
"Speaker 1: I think the idea of a moral law requires the existence of a lawgiver (i.e. God).
Speaker 2: Of course you would say that. You’re a Christian. Why should we listen to you?",ad hominem,fallacy of relevance
The latest craze or fad; everyone has to have it.,ad populum,fallacy of relevance
Ms. Baker assigned me a lot of homework because she’s a witch!,ad hominem,fallacy of relevance
"""I don't know how to complete my geometry homework tonight; I probably can't pass the course since I can't do this one assignment.""",faulty generalization,fallacies of defective induction
"TOPIC: Should people let their cats go outside?
DEBATE: ""People should let their cats go outside. Going outside gives cats more exercise.""
""Speaking of exercise, have you ever played 'Just Dance'? What a great workout!""",fallacy of relevance,fallacy of relevance
Three congressional representatives have had affairs. Members of Congress are adulterers.,faulty generalization,fallacies of defective induction
"""Because everybody thinks this way, it must be right.""",ad populum,fallacy of relevance
That answer you just gave cannot be right because you are always so rude.,ad hominem,fallacy of relevance
I am voting for Smith for President because the rest of my family is voting for him.,ad populum,fallacy of relevance
"Jimmy Swaggart argued strongly against sexual immorality, yet while married, he has had several affairs with prostitutes; therefore, sexual immorality is acceptable.",ad hominem,fallacy of relevance
"If you break your diet and have one cookie tonight, you will just want to eat 10 cookies tomorrow, and before you know it, you will have gained back the 15 pounds you lost. This is an example of which logical fallacy?",faulty generalization,fallacies of defective induction
"Power lines cause cancer.  I met a little boy with cancer who lived just 20 miles from a power line who looked into my eyes and said, in his weak voice, “Please do whatever you can so that other kids won’t have to go through what I am going through.”  I urge you to vote for this bill to tear down all power lines and replace them with monkeys on treadmills.",appeal to emotion,fallacy of relevance
"Don't ever gamble! Once you start, you won't be able to stop, and you'll end up bankrupt.",faulty generalization,fallacies of defective induction
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.,circular reasoning,fallacies of presumption
The writer or speaker intentionally misleads the audience by using a word with a double or ambiguous meaning.,equivocation,fallacy of ambiguity
"I lost my phone in the living room, so it will always be in the living room when it is lost.",circular reasoning,fallacies of presumption
Everyone loves Post Malone and can name at least one of his songs! (This is an example of...),faulty generalization,fallacies of defective induction
I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.,faulty generalization,fallacies of defective induction
This theory originally occurred to a scientist in the form of a dream; therefore it cannot be valid.,ad hominem,fallacy of relevance
"Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history.",circular reasoning,fallacies of presumption
"If you don’t like Lady Gaga, it’s because you hate women.",fallacy of extension,fallacy of relevance
"John: Can you please help me push my car to the side of the road until the tow truck comes?
Paul: Why push it to the side of the road?  Why not just leave it?
John: It is slowing down traffic unnecessarily where it is.
Paul: Many things slow down traffic—do you feel you need to do something about all them?
John: No, but this was my fault.
Paul: Was it really? Were you the direct cause of your car breaking down?
John: Are you going to help me move this damn car or not?!
",fallacy of relevance,fallacy of relevance
Billy murdered all those people because I spanked him when he was a child.,false causality,fallacies of defective induction
"Mormonism is one of the fastest growing sects of Christianity today so that whole story about Joseph Smith getting the golden plates that, unfortunately, disappeared back into heaven, must be true!",ad populum,fallacy of relevance
"Sandra tells her mom, ""I deserve to have a later curfew, so you should let me stay out until 10pm!""",circular reasoning,fallacies of presumption
"""Stephen Hawking in the smartest scientist on the planet, so if he says global warming is real, it must be true!""",fallacy of credibility,fallacies of defective induction
The Royals are promoting their team for the next season by telling people to come join the team because everyone else has.,ad populum,fallacy of relevance
He sometimes behaves violently when I am around him. I don't know what it is that I am doing to make him become so violent.,fallacy of logic,fallacies of defective induction
"While doing research for her debate topic on school uniforms, Sara discovered that a local elementary school survey indicated that 72% of its 1st graders wanted uniforms. She used this as evidence to support that all high schools should wear school uniforms.
What fallacy did Sara use here?",faulty generalization,fallacies of defective induction
Incorrectly thinking that one thing leads to another,false causality,fallacies of defective induction
"The economy continues to grow as the number of “likes” on my Instagram account continue to increase. Clearly, the two are linked.",false causality,fallacies of defective induction
"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles. Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one. Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature. So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization,fallacies of defective induction
Affirmative Action can never be fair or just. You cannot remedy one injustice by committing another.,circular reasoning,fallacies of presumption
All my friends are doing a low carb diet. That must be the only way to lose weight so I will do it too.,ad populum,fallacy of relevance
Canada is the best country to live in because it's better than the other countries!,circular reasoning,fallacies of presumption
A mother who tells the pediatrician that she doesn't trust his judgment because he's never been a mother.,ad hominem,fallacy of relevance
"""Florida is the most important state because it has sun and beaches.""",fallacy of extension,fallacy of relevance
"Bertrand declares that a teapot is, at this very moment, in orbit around the Sun between the Earth and Mars, and that because no one can prove him wrong, his claim is therefore a valid one.",intentional,fallacy of relevance
People who wear glasses are smarter.,faulty generalization,fallacies of defective induction
"""In its origins [AIDS] was entirely a disease of sodomites... That the first case was diagnosed a little over a decade after the so-called ""Gay Rights"" and ""Gay Pride"" movement gained momentum and force can hardly be coincidental."" - Harry Jaffa, Professor Emeritus of Political Philosophy at Claremont McKenna College",false causality,fallacies of defective induction
Order is necessary to justice because justice can only be achieved by a program of social and legal order.,circular reasoning,fallacies of presumption
Everyone wants the iPhone 11 because it's the best phone on the market!,ad populum,fallacy of relevance
A parent who says that the teacher doesn't know how to teach because she graduated from a community college.,ad hominem,fallacy of relevance
"Either God created the world or evolution happened.
Evolution happened.
Therefore, God did not create the world.",fallacy of logic,fallacies of defective induction
"After Will said that we should put more money into health and education, Warren responded by saying that he was surprised that Will hates our country so much that he wants to leave it defenseless by cutting military spending.",fallacy of extension,fallacy of relevance
Did your misleading claims result in you getting promoted?,intentional,fallacy of relevance
"America is the best place to live, because it's better than any other country. (This is a good example of...)",circular reasoning,fallacies of presumption
"Ivan: You cannot borrow my car because it turns back into a pumpkin at midnight.
Sidney: If you really think that, you’re an idiot.
Ivan: That is an ad hominem; therefore, I can’t be an idiot.
Sidney: I beg to differ.",fallacy of logic,fallacies of defective induction
Allowing people to possess guns is like giving a bomb to a bunch of kids.,fallacy of logic,fallacies of defective induction
A person hanging out in a bar will be an alcoholic,faulty generalization,fallacies of defective induction
Joan is scratched by a cat while visiting her friend. Two days later she comes down with a fever. Joan concludes that the cat's scratch must be the cause of her illness.,false causality,fallacies of defective induction
The political commercials described the mayor as a “monster” who “hated babies” but they never discussed his plans for the city.,ad hominem,fallacy of relevance
"If you accept that the story of Adam and Eve was figurative, then you will do the same for most of the Old Testament stories of similar literary styles.  Once you are there, the New Testament and the story of Jesus does not make sense, which will lead you to believe that the resurrection of Jesus was a “spiritual” one.  Once you accept that, you won’t be a Christian anymore; you will be a dirty atheist, then you will have no morals and start having sex with animals of a barnyard nature.  So you better take the story of Adam and Eve literally, before the phrase, “that chicken looks delicious”, takes on a whole new meaning.",faulty generalization,fallacies of defective induction
Of course Lou would want to go biking on field trip day - biking is the only thing he ever does! He shouldn't be allowed to choose an activity.,ad hominem,fallacy of relevance
Force people to choose between two extreme choices intentionally ignoring the whole spectrum of other possibilities.,false dilemma,fallacies of defective induction
"All lions are animals.
All cats are animals.
Therefore, all lions are cats.",fallacy of logic,fallacies of defective induction
My neighbor’s child was kidnapped while playing alone in her yard. My city must be a dangerous place for children.,faulty generalization,fallacies of defective induction
"All the popular guys at school are dyeing their hair purple, so you should, too!",ad populum,fallacy of relevance
Suggesting that John F. Kennedy won the presidency over Richard Nixon exclusively because of the debate on TV,false causality,fallacies of defective induction
“The two courses I took at Harvard were not very interesting. I don't think it is a good university.”,faulty generalization,fallacies of defective induction
"Richard Dawkins, an evolutionary biologist and perhaps the foremost expert in the field, says that evolution is true. Therefore, it's true.",fallacy of credibility,fallacies of defective induction
"If I went to the mall a polled 3 people, those opinions would not represent the opinions of the city population.",faulty generalization,fallacies of defective induction
"If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.",faulty generalization,fallacies of defective induction
"""Some tall people recently vandalized the park, tall people are irresponsible.""",faulty generalization,fallacies of defective induction
"the analogy 'animal Auschwitz,' which compares the treatment of animals to the treatment of Jews, gays and other groups during the Nazi era.",fallacy of logic,fallacies of defective induction
"My mother has always told me not to drink milk after eating fish because she knows a friend whose skin got patched after drinking milk and eating fish together. Besides, many other people have told me the same thing so it must be true.",faulty generalization,fallacies of defective induction
Every severe recession follows a Republican Presidency; therefore Republicans are the cause of recessions.,false causality,fallacies of defective induction
"""Good source of Vitamin D""...*doesn't mention the terrible amounts of sugar.",intentional,fallacy of relevance
"harmful atheists favor cloning, so cloning is wrong",ad hominem,fallacy of relevance
"Based on a survey of 1000 American homeowners, 99% of those surveyed have two or more automobiles worth on average $100,000 each.  Therefore, Americans are very wealthy.",faulty generalization,fallacies of defective induction
"Ted: Biological evolution is both a theory and a fact.

Edwin: That is ridiculous! How can you possibly be absolutely certain that we evolved from pond scum!",fallacy of extension,fallacy of relevance
"“Eat great food at our restaurant, or eat sad, boring meals at home.”",false dilemma,fallacies of defective induction
"My roommate wants to talk about cleaning out the garage, so I asked her what she wants to do with our patio furniture. Now she's shopping for new patio furniture and not asking me about the garage.",fallacy of relevance,fallacy of relevance
"""The majority of people are voting for John Doe, so he must be the best candidate.""",ad populum,fallacy of relevance
"""Your Honor, the defendant has been able to provide no strong evidence to prove his innocence; therefore, you must find him guilty.""",intentional,fallacy of relevance
gun registration would start us sliding into the unconstitutional morass of universal arms confiscation.,faulty generalization,fallacies of defective induction
"Poetry is a based on rhythm, and music is based on rhythm, so isn't poetry a kind of music?",fallacy of logic,fallacies of defective induction
"If you don’t eat breakfast, you’ll slouch in your desk. If you slouch in your desk, you’ll hurt your back. If you hurt your back, you’ll never become President. What fallacy is being committed here?",faulty generalization,fallacies of defective induction
"It is possible to fake the moon landing through special effects. Therefore, the moon landing was a fake using special effects.",fallacy of logic,fallacies of defective induction
"""She's definitely a feminist; she watched the Democratic National Convention"" IS an example of this fallacy.",faulty generalization,fallacies of defective induction
"""The academic decathlon, Mr. Iglesias? That's a rich kid thing.""",false dilemma,fallacies of defective induction
This is an example of which fallacy?,ad populum,fallacy of relevance
There is a lot of commotion regarding saving the environment. We cannot make this world an Eden. What will happen if it does become Eden? Adam and Eve got bored there!,fallacy of relevance,fallacy of relevance
"If you don't pass this quiz, you will get a low grade. This will affect your score in the gradebook, you will fail Eng II. You will not graduate Highschool. You will not get a good job.",faulty generalization,fallacies of defective induction
Santa has a red suit. My dad has a red suit. My dad must be Santa Claus! (This is an example of...),fallacy of logic,fallacies of defective induction
Attributing the cause of World War II to only Adolf Hitler's hatred of the Jews,false causality,fallacies of defective induction
We should stop using hairspray because it is snowing in New York.,fallacy of logic,fallacies of defective induction
"Earl: Men don't cry
Jaquon: I cry all the time; it's healthy
Earl: Well, REAL men don't cry.
Jaquon: Earl, you should invest in some therapy.
Earl: Los hombres no lloran
Jaquon: lloro todo el tiempo; Es saludable
Earl: Bueno, los hombres REALES no lloran.
Jaquon: Earl, deberías invertir en terapia.",intentional,fallacy of relevance
"The report suggests that 'the rise in violent offending and the explosion in the sales of iPods and other portable media devices is more than coincidental,' and asks, rather provocatively, 'Is There an iCrime Wave?' The report notes that nationally, violent crime fell every year from 1993 to 2004, before rising in 2005 and 2006, just as 'America’s streets filled with millions of people visibly wearing, and being distracted by, expensive electronic gear.'",false causality,fallacies of defective induction
"If you don’t agree to sign the labor agreement, we’ll fire you.",appeal to emotion,fallacy of relevance
“My boss isn’t willing to increase the number of vacation days we get each year. That means she doesn’t care about our health. It’s wrong not to care about employees’ health. She should be replaced with someone who cares about the employees.”,fallacy of extension,fallacy of relevance
"Many people criticize Thomas Jefferson for being an owner of slaves. But Jefferson was one of our greatest presidents, and his Declaration of Independence is one of the most eloquent pleas for freedom and democracy ever written. Clearly these criticisms are unwarranted.",fallacy of relevance,fallacy of relevance
"Interviewer: What do you think should be done about people who swear in public?
Man on the Street: I think it should be against the law.
Interviewer: Oh, I suppose you're against the right to free speech, then?",fallacy of extension,fallacy of relevance
"Red had come up six times in a row on the roulette wheel, so Greg knew that it was close to certain that black would be next up. Suffering an economic form of natural selection with this thinking, he soon lost all of his savings.",ad populum,fallacy of relevance
"My grandmother smoked for 80 years and died at 100. Obviously, smoking isn’t harmful.",faulty generalization,fallacies of defective induction
"Steve: In Sweden, college is free for citizens. How come we can't do that here?
Ed: If you like Sweden so much, move there. The USA would be glad to be rid of your liberal ass!
",ad hominem,fallacy of relevance
"You've never visited another country, so who cares what you say about immigration reform!",ad hominem,fallacy of relevance
"I'm raising funds to help cure XYZ disease. If you don't donate, then you're part of the problem.",false dilemma,fallacies of defective induction
"""I see nobody on the road,"" said Alice.
""I only wish I had such eyes,"" the king remarked...""To be able to see Nobody! And at that distance, too! Why it's as much as I can do to see real people, by this light.""",equivocation,fallacy of ambiguity
"We haven’t found the ruins of Troy, so the city of Troy didn’t really exist.",intentional,fallacy of relevance
"Mike: It is morally wrong to cheat on your spouse, why on earth would you have done that?
Ken: But what is morality exactly?
Mike: It’s a code of conduct shared by cultures.
Ken: But who creates this code?...
",fallacy of relevance,fallacy of relevance
"""We should abolish the death penalty. Many respected people, such as actor, Chewbacca, have publicly stated their opposition to it.""",fallacy of credibility,fallacies of defective induction
"According to the Supreme Court, we have a right to abortion. Therefore, it is right to have an abortion.",equivocation,fallacy of ambiguity
The reason our company never makes any money is because we have a buffoon running it!,ad hominem,fallacy of relevance
"Not believing in the literal resurrection of Jesus because the Bible has errors and contradictions, is like denying that the Titanic sank because eye-witnesses did not agree if the ship broke in half before or after it sank.",fallacy of logic,fallacies of defective induction
"Look, you are going to have to make up your mind. Either, you decide that you can afford this stereo, or your decide that you are going to have to go without music for a while.",false dilemma,fallacies of defective induction
"A student gets into trouble for not meeting the dress code at her school. When her teacher confronts her, she begins talking about how the dress code is a punishment for girls and boys are able to wear whatever they want.",fallacy of relevance,fallacy of relevance
How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.,circular reasoning,fallacies of presumption
Mayor Kerr wants to create more bicycle lanes in Greenpoint. Why is he forcing us to give up our cars and bike everywhere?,fallacy of extension,fallacy of relevance
Look at that face! Could anyone trust that to run the country?,ad hominem,fallacy of relevance
assumes that short-term deviations will correct themselves,false causality,fallacies of defective induction
"""Everyone should like coffee: 95% of teachers do!""",ad populum,fallacy of relevance
"All forest creatures live in the woods.
All leprechauns are forest creatures.
Therefore, some leprechauns live in the woods.",fallacy of logic,fallacies of defective induction
"Ken: There has to be an objective morality because otherwise terms like “right” and “wrong” would be meaningless since they have no foundation for comparison. 
Rob: The terms “right” and “wrong” are based on cultural norms, which do have a subjective foundation -- one that changes as the moral sphere of the culture changes.  The term “heavy” does not have an objective standard, yet we have no problem using that term in a meaningful way.  In fact, very few relational terms have any kind of objective foundation.
Ken: But without an objective morality, we would all be lost morally as a race.
Rob: Many would say that we are.
Ken: But how can you say that torturing children for fun is morally acceptable in any situation?
Rob: Personally, I wouldn’t, but you are implying that anything that is not objective must necessarily be seen in all possible ways. A feather may not be seen as “heavy” to anyone, but that doesn’t mean its “lightness” is still not relative to other objects.
Ken: But God is the standard of objective morality.  Prove that wrong!
Rob: That I cannot do.
",intentional,fallacy of relevance
"This fallacy assumes something is true (or right, or good) because other people agree with it.",ad populum,fallacy of relevance
"I know four poor families. They are lazy drug addicts. Therefore, all poor people are lazy drug addicts.",faulty generalization,fallacies of defective induction
How many times per day do you beat your wife?,intentional,fallacy of relevance
"Maury: Please put all my chips on red 21.
Dealer: Are you sure you want to do that?  Red 21 just came up in the last spin.
Maury:  I didn’t know that!  Thank you!  Put it on black 15 instead.  I can’t believe I almost made that mistake!",false causality,fallacies of defective induction
"Don't listen to Senator Bob's opinion. He is a crook, and a spiteful loony man.",ad hominem,fallacy of relevance
