sentence,fine_class,sentence+prompt,prompt,coarse_class
"Kent: My new car is really fast.

Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast.",fallacy of extension,"Kent: My new car is really fast. Cal: I doubt that it is as fast as a jet fighter so, therefore, it is not fast. Distortion: I doubt that jet fighter is as fast as my new car ",Distortion: I doubt that jet fighter is as fast as my new car ,component fallacy
All writing teachers must be awesome because Ms. Lopez is.,faulty generalization,All writing teachers must be awesome because Ms. Lopez is. Phenomenon: All writing teachers must be awesome Ms. Lopez is Conclusion: you should be awesome. ``` ## 5.3.2 本課程解決方法, Phenomenon: All writing teachers must be awesome Ms. Lopez is Conclusion: you should be awesome. ``` ## 5.3.2 本課程解決方法,component fallacy
"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next!",faulty generalization,"If we teach anton how to drive the car, he’ll want to learn how to fly helicopters next! Phenomenon: If we teach anton how to drive the car, he’ll want to learn how to to fly helicopters Conclusion: He’ll want to learn to fly helicopters next! "," Phenomenon: If we teach anton how to drive the car, he’ll want to learn how to to fly helicopters Conclusion: He’ll want to learn to fly helicopters next! ",component fallacy
Labor unions in America are just as bad as Russia under Stalin!,fallacy of relevance,Labor unions in America are just as bad as Russia under Stalin! Logic x: labor unions in America are just as bad as Russia under Stalin Logic y: , Logic x: labor unions in America are just as bad as Russia under Stalin Logic y: ,fallacy of relevance
America:  love it or leave it. Either you’re for us or against us.,false dilemma,America: love it or leave it. Either you’re for us or against us. Phenomenon: America: love it or leave it Conclusion: Either you’re for us or against us ,Phenomenon: America: love it or leave it Conclusion: Either you’re for us or against us ,component fallacy
claiming that an idea or belief is true simply because it is what most people believe,ad populum,"claiming that an idea or belief is true simply because it is what most people believe is an epistemological mistake. If that were a criterion for truth, then, in order to be true, the universe must be expanding. Because most people tend to believe the universe is expanding, that makes it more likely to be true than if everyone believed the universe is stationary. statement: the idea or belief should be true simply because premise: if that is the criteriato f being th"," is an epistemological mistake. If that were a criterion for truth, then, in order to be true, the universe must be expanding. Because most people tend to believe the universe is expanding, that makes it more likely to be true than if everyone believed the universe is stationary. statement: the idea or belief should be true simply because premise: if that is the criteriato f being th",fallacy of relevance
Mr. Casal was very tired because he had no energy.,circular reasoning,Mr. Casal was very tired because he had no energy. Mr. Casal was tired because he had no energy, Mr. Casal was tired because he had no energy,component fallacy
"In the 6 years that I have been practicing my new and improved brand of cognitive-humanistic-dynamic-behavioral-deconstructive-metaregressive-deontological psychotherapy (now with biofeedback!), which I developed, there has not been one published study showing that it fails to work or that it has ever harmed a patient. It is clearly one of the safest and most effective interventions ever devised.",intentional,"In the 6 years that I have been practicing my new and improved brand of cognitive-humanistic-dynamic-behavioral-deconstructive-metaregressive-deontological psychotherapy (now with biofeedback!), which I developed, there has not been one published study showing that it fails to work or that it has ever harmed a patient. It is clearly one of the safest and most effective interventions ever devised.\n I am an active member of the International Cognitive-Behavior-Therapy Academy (www.cbtalliance.com).\n The CITA-ICBT has helped thousands of patients and therapists. I recommend it highly.\n The CITA-ICBT has won awards as the best self-help book at the International Book Awards.\n The CITA-ICBT is my best resource for learning how to do cognitive restructuring, psychoanalytic psychotherapy, psychospiritual psychotherapy and psychodynamic therapy.\n It has given me my life. I know my way around therapy and psychotherapy, and have done a lot of work to make this book effective.\n You don’t have to waste your money and time getting training in methods that haven’t been proven effective and are potentially harmful or unethical.\n This is my method. And it works. It is clinically proven to lead to recovery from trauma, anxiety, depression, trauma, panic, phobia, and OCD (though it is not for these diseases).\n It is a scientifically documented method and has been the central feature of therapy in this world in the last 30 years. It is safe and effective. I invite you to look at the list of more than 50 case studies in the bibliography.\n Read the website, it explains it all in detail.\n And read the website, it explains it all in more detail.\n I offer my book to you at a deep discount.\n I offer the CITA-ICBT training for free at https://www.cbtalliance.org/citasync This book is intended to become a resource for you.\n Do you need to develop a case? I help patients, not just therapists.\n D","\n I am an active member of the International Cognitive-Behavior-Therapy Academy (www.cbtalliance.com).\n The CITA-ICBT has helped thousands of patients and therapists. I recommend it highly.\n The CITA-ICBT has won awards as the best self-help book at the International Book Awards.\n The CITA-ICBT is my best resource for learning how to do cognitive restructuring, psychoanalytic psychotherapy, psychospiritual psychotherapy and psychodynamic therapy.\n It has given me my life. I know my way around therapy and psychotherapy, and have done a lot of work to make this book effective.\n You don’t have to waste your money and time getting training in methods that haven’t been proven effective and are potentially harmful or unethical.\n This is my method. And it works. It is clinically proven to lead to recovery from trauma, anxiety, depression, trauma, panic, phobia, and OCD (though it is not for these diseases).\n It is a scientifically documented method and has been the central feature of therapy in this world in the last 30 years. It is safe and effective. I invite you to look at the list of more than 50 case studies in the bibliography.\n Read the website, it explains it all in detail.\n And read the website, it explains it all in more detail.\n I offer my book to you at a deep discount.\n I offer the CITA-ICBT training for free at https://www.cbtalliance.org/citasync This book is intended to become a resource for you.\n Do you need to develop a case? I help patients, not just therapists.\n D",fallacy of relevance
"""I had a bad teacher once; therefore, all teachers must be bad.""",faulty generalization,"""I had a bad teacher once; therefore, all teachers must be bad."" Phenomenon: I had a bad teacher once Conclusion: All teachers must be bad. ", Phenomenon: I had a bad teacher once Conclusion: All teachers must be bad. ,component fallacy
"All stars are exploding balls of gas.
Miley Cyrus is a star.
Therefore, Miley Cyrus is an exploding ball of gas",equivocation,"All stars are exploding balls of gas. Miley Cyrus is a star. Therefore, Miley Cyrus is an exploding ball of gas. ",. ,equivocation
