source_article,updated_label,masked_articles
"company's slogan ""Expect More. Pay Less.""",appeal to emotion,"company 's slogan "" Expect More . Pay Less . "" "
"The bigger a child's shoe size, the better the child's handwriting",false causality,"The bigger MSK<0> shoe size , the better MSK<0> handwriting "
"Since many people believe this, then it must be true",ad populum,"Since many people believe this , then it must be true "
Senator Randall isn't lying when she says she cares about her constituents—she wouldn't lie to people she cares about.,circular reasoning,MSK<0> is n't MSK<1> when MSK<0> says MSK<0> MSK<2> about MSK<0> constituents — MSK<0> would n't MSK<1> to people MSK<0> MSK<2> about . 
"A mother is telling her daughter that she went over her data for the month, and the daughter begins telling her mother about getting an A on a math test.",fallacy of relevance,"MSK<0> is MSK<1> MSK<2> that MSK<0> went over MSK<0> data for the month , and MSK<2> begins MSK<1> MSK<0> about getting an A on a math test . "
A mother tells her children not to leave the yard because there might be wild animals in the woods.,appeal to emotion,MSK<0> tells MSK<0> children not to leave the yard because there might be wild animals in the woods . 
"If we ban Hummers because they are bad for the environment, eventually the government will ban all cars, so we should not ban Hummers.",faulty generalization,"If MSK<0> MSK<1> MSK<2> because MSK<2> are bad for the environment , eventually the government will MSK<1> all cars , so MSK<0> should not MSK<1> MSK<2> . "
very time Joe goes swimming he is wearing his Speedos. Something about wearing that Speedo must make him want to go swimming.,false causality,very time MSK<0> goes MSK<1> MSK<0> is MSK<2> MSK<0> MSK<3> . Something about MSK<2> that MSK<3> must make MSK<0> want to go MSK<1> . 
"""You were late tonight. You must be cheating!""",faulty generalization,""" MSK<0> were late tonight . MSK<0> must be cheating ! "" "
"Every time I go to sleep, the sun goes down. Therefore, my sleeping causes the sun to set.",false causality,"Every time MSK<0> go to MSK<1> , MSK<2> goes down . Therefore , MSK<0> MSK<1> causes MSK<2> to set . "
"Makes people feel as though everyone is doing it, so they should too.",ad populum,"Makes MSK<0> feel as though everyone is doing it , so MSK<0> should too . "
You oppose a senator's proposal to extend government-funded health care to poor minority children because that senator is a liberal Democrat.,ad hominem,You oppose MSK<0> proposal to extend government - funded health care to poor minority children because MSK<0> is a liberal Democrat . 
"Child: This fish tastes funny. I don’t want to eat this.
Parent: There are children starving in Africa. Eat your dinner.",fallacy of relevance,MSK<0> : This fish tastes funny . I do n’t want to MSK<1> this . Parent : There are MSK<0> starving in Africa . MSK<1> your dinner . 
"John: I think we should hire someone to redesign our website.
Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.",fallacy of extension,MSK<0> : MSK<0> think MSK<1> should hire someone to redesign MSK<1> website . MSK<2> : MSK<2> 're saying MSK<1> should throw MSK<1> money away on external resources instead of building up MSK<1> in - house design team ? That 's going to hurt MSK<1> company in the long run . 
"""Beware of appeals made only to your feelings and not to your logic.""",appeal to emotion,""" Beware of appeals made only to MSK<0> feelings and not to MSK<0> logic . "" "
"taps into people's desire to belong to a group. ""Everyone else is doing it!""",ad populum,"taps into people 's desire to belong to MSK<0> . "" Everyone else is doing MSK<0> ! "" "
Science shows us that improved quality of life comes through research and invention.,equivocation,Science shows us that improved quality of life comes through research and invention . 
"Prof. Jones: ""The university just cut our yearly budget by $10,000."" Prof. Smith: ""What are we going to do?"" Prof. Brown: ""I think we should eliminate one of the teaching assistant positions. That would take care of it."" Prof. Jones: ""We could reduce our scheduled raises instead."" Prof. Brown: "" I can't understand why you want to bleed us dry like that, Jones.""",fallacy of extension,"MSK<0> Jones : "" The university just cut MSK<1> yearly budget by $ 10,000 . "" MSK<0> Smith : "" What are MSK<1> going to do ? "" MSK<2> : "" MSK<2> think MSK<1> should eliminate one of the teaching assistant positions . MSK<3> would take care of MSK<3> . "" MSK<0> MSK<4> : "" MSK<1> could reduce MSK<1> scheduled raises instead . "" MSK<0> Brown : "" I ca n't understand why you want to bleed MSK<1> dry like that , MSK<4> . "" "
uses irrelevant information or other techniques to distract from the argument at hand,fallacy of relevance,uses irrelevant information or other techniques to distract from the argument at hand 
"If Joe eats greasy food, he will feel sick.
Joe feels sick.
Therefore, Joe ate greasy food.",fallacy of logic,"If MSK<0> MSK<3> , MSK<0> will MSK<5> . MSK<0> MSK<5> . Therefore , MSK<0> MSK<3> . "
"The student didn't want to participate in the beach cleanup. Later, the student's advisor says ""I can't believe she doesn't believe in climate change"".",fallacy of extension,"MSK<0> did n't want to participate in the beach cleanup . Later , MSK<0> says "" MSK<0> ca n't MSK<1> MSK<0> does n't MSK<1> in climate change "" . "
"This herbal supplement is made from a plant that grows in Zambia. It must be healthier than taking that medication, which is full of chemicals I can't pronounce.",fallacy of credibility,"MSK<0> is made from a plant that grows in Zambia . MSK<0> must be healthier than taking that medication , which is full of chemicals I ca n't pronounce . "
"I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.

Identify the logical fallacy commited in this argument.",ad populum,"MSK<0> know MSK<1> said that the Bridges of Madison County was smarmy trash and lacked any artistic worth . But MSK<0> still think MSK<1> 's wrong . After all , it was on the best - seller list for over 100 weeks . Identify the logical fallacy commited in this argument . "
Those who believe in behavior modification obviously want to try to control everyone by subjecting them to rewards and punishments.,fallacy of extension,MSK<0> want to try to control everyone by subjecting MSK<0> to rewards and punishments . 
"If taxes are lowered, I will have more money to spend.
I have more money to spend.
Therefore, taxes must have been lowered.",fallacy of logic,"If MSK<0> are MSK<1> , MSK<2> will have more MSK<3> to MSK<4> . MSK<2> have more MSK<3> to MSK<4> . Therefore , MSK<0> must have been MSK<1> . "
