text,label,label_updated
When you have too little or unrepresentative data to make claim.,faulty generalization,fallacies of defective induction
Politician: We have to decide if we are going to support school choice or if we are going to support failing schools. Those are the only two options.,false dilemma,fallacies of defective induction
"In many cases you can't really tell whether patients are improving because of what the therapist is doing or because of the placebo effect""”there's a fuzzy line separating the two--so we must conclude that they are actually the same mechanism of improvement.",equivocation,fallacy of ambiguity
"Free software can permit end user to take control over software. If enduser cannot develop he can ask help from developers. There are many way to ask help :
- calling friend who can help
- calling paid services
- build a user community permit better fund raising.
- etc",false causality,fallacies of defective induction
"If the President arrives in Hawaii, and the next day a volcano erupts, believing that the volcano erupted because the President arrived on the island is an example of:",false causality,fallacies of defective induction
"""Everyone else is doing it, so should you"".",ad populum,fallacy of relevance
"If you had school pride like the rest of us do, you would wear a mountain lion costume every day.",ad populum,fallacy of relevance
"voting should be available to anyone, regardless of intelligence",circular reasoning,fallacies of presumption
"""Then we had a death. A 32-year-old woman hemorrhaged to death as a result of a cervical laceration. I finally realized, we weren't helping women - we were destroying them.""",appeal to emotion,fallacy of relevance
You either support Hillary Clinton for President or you don't believe in women's rights,false dilemma,fallacies of defective induction
Science shows us that improved quality of life comes through research and invention.,equivocation,fallacy of ambiguity
news organizations are Fake News?,faulty generalization,fallacies of defective induction
"The spider that bit was poison, therefore all spiders are poison.",faulty generalization,fallacies of defective induction
"""If you don't bring a pencil to class... you will end up sad and alone in life.""",faulty generalization,fallacies of defective induction
"""In his class president election video, he called his student opponent 'a brown-nosing, suck up who only wanted to get on the teacher's good side,' which got him disqualified"" IS an example of THIS fallacy.",ad hominem,fallacy of relevance
"""Everyone was driving over the speed limit, so I shouldn't have gotten a ticket for it!"" is an example of which logical fallacy?",ad populum,fallacy of relevance
"""You were late tonight. You must be cheating!""",faulty generalization,fallacies of defective induction
"""The two courses I took at Harvard were not very interesting. I don't think it is a good university.""",faulty generalization,fallacies of defective induction
The music industry must either raise album prices or reduce pay for technicians and producers.,false dilemma,fallacies of defective induction
America: Love it or leave it,false dilemma,fallacies of defective induction
"Boy , those sound like pretty terrible, epicly fascist (hint) robots.",fallacy of red herring,fallacy of relevance
the most destructive problems can be easily traced to capitalism,circular reasoning,fallacies of presumption
"Pure democracy is a form of dictatorship, where the majority is the dictator.",circular reasoning,fallacies of presumption
"Before he died, poet Allen Ginsberg argued in favor of legalizing pornography. But Ginsberg's arguments are nothing but trash. Ginsberg was a pot-smoking homosexual and a thoroughgoing advocate of the drug culture.",ad hominem,fallacy of relevance
tooling and abstraction has made workflows extremely personal unstandard and preferential,fallacy of red herring,fallacy of relevance
"Six million read a paper""”must be excellent",ad populum,fallacy of relevance
You've got to donate to the hockey team. They are helping build schools in Uganda. Imagine all of those poor and hungry kids there.,appeal to emotion,fallacy of relevance
"""Oh, please. What would you know about labor laws? You don't even have a job.""",ad hominem,fallacy of relevance
"""Andrea Starkk has written several books arguing that the media harms women when it comes to body image. But Starkk is an ugly, bitter person, so you shouldn't listen to her.""",ad hominem,fallacy of relevance
“You should always do what you are being told because following the rules is important.”,circular reasoning,fallacies of presumption
Taco is the best because it tastes better.,circular reasoning,fallacies of presumption
